alg,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
distorted_greedy,"{584, 3857, 3667, 3989, 4089}",6871,7200,329,0.7671978049911559,,,0.005,800,5,40,4,50,6,
cost_scaled_greedy,"{584, 3857, 3667, 3989, 4089}",6871,7200,329,0.012733911979012191,,,0.005,800,5,40,4,50,6,
cost_scaled_lazy_exact_greedy,"{3857, 3667, 3989, 584, 4089}",6871,7200,329,0.0007057339535094798,,,0.005,800,5,40,4,50,6,
unconstrained_linear,"{0, 1, 5, 6, 8, 21}",7460,8000,540,0.0007933980086818337,,,0.005,800,5,40,4,50,6,
unconstrained_distorted_greedy,"{1247, 1094, 584, 3667, 1215}",4346,4800,454,0.0018896699766628444,,,0.005,800,5,40,4,50,6,
stochastic_distorted_greedy,"{1094, 584, 3857, 3667, 3989, 4089, 1215}",6671,7200,529,0.005989914992824197,,0.01,0.005,800,5,40,4,50,6,
distorted_greedy,"{1024, 3208, 1805, 791, 3364, 4265, 4270, 4401, 3510, 695, 1723, 446, 2242, 3146, 1098, 338, 3288, 4188, 1506, 3427, 868}",19625,23200,3575,11.943303231033497,,,0.1,800,5,40,5,50,6,
cost_scaled_greedy,"{1024, 2242, 3427, 868, 1506, 3208, 4265, 3146, 1098, 695, 1805, 4401, 338, 791, 3288, 1723, 4188, 446}",18580,20000,1420,10.591365762986243,,,0.1,800,5,40,5,50,6,
cost_scaled_lazy_exact_greedy,"{1024, 2242, 3208, 3146, 1098, 1805, 338, 791, 855, 3288, 1506, 3427, 868, 4265, 4401, 695, 1723, 446}",18580,20000,1420,0.009497018007095903,,,0.1,800,5,40,5,50,6,
unconstrained_linear,"{32, 4, 388, 6, 38, 122, 9, 41, 11, 12, 13, 301, 115, 148, 85, 22, 216, 90, 315}",15310,16800,1490,0.018117022002115846,,,0.1,800,5,40,5,50,6,
unconstrained_distorted_greedy,"{1381, 1159, 712, 3208, 4265, 846, 4270, 2097, 3313, 338, 4532, 1682, 1015, 1976, 825, 1018, 4188, 3288}",14075,16800,2725,0.048193434020504355,,,0.1,800,5,40,5,50,6,
stochastic_distorted_greedy,"{1159, 3208, 1682, 3364, 4265, 2097, 4532, 695, 1976, 825, 2242, 712, 1098, 846, 338, 4563, 3288, 4188, 1506, 3427, 1381, 3313, 1015, 1018}",18150,21600,3450,0.17228439199971035,,0.01,0.1,800,5,40,5,50,6,
distorted_greedy,"{1409, 4354, 290, 3364, 4136, 297, 686, 1972, 949, 1592, 3773, 960, 4547, 3785, 3791, 1232, 4563, 981, 1761, 3050, 3054, 4346}",18535,21600,3065,48.47972383996239,,,0.2,800,5,40,5,50,6,
cost_scaled_greedy,"{960, 1409, 4354, 4547, 290, 1761, 4136, 3785, 297, 686, 3791, 1232, 3054, 1972, 949, 981, 1592, 4346, 3773}",17635,19200,1565,48.718085350992624,,,0.2,800,5,40,5,50,6,
cost_scaled_lazy_exact_greedy,"{960, 1409, 4547, 3785, 3791, 1232, 981, 1761, 290, 3427, 4136, 297, 3054, 686, 1972, 949, 1592, 3773, 2750}",17710,19200,1490,0.01627666800050065,,,0.2,800,5,40,5,50,6,
unconstrained_linear,"{131, 6, 394, 13, 409, 27, 290, 36, 297, 301, 46, 429, 48, 55, 576, 195, 454, 584, 592, 483, 239, 754, 636}",16385,19200,2815,0.04576593800447881,,,0.2,800,5,40,5,50,6,
unconstrained_distorted_greedy,"{1761, 4354, 4547, 290, 485, 3145, 4042, 297, 3785, 686, 623, 592, 3054, 1972, 981, 793, 1592, 1625}",14265,16000,1735,0.1849380430066958,,,0.2,800,5,40,5,50,6,
stochastic_distorted_greedy,"{1409, 4354, 793, 290, 3364, 4136, 297, 686, 1972, 1592, 3773, 960, 4547, 3145, 4042, 3785, 592, 4563, 981, 1761, 485, 3050, 3054, 623, 1016}",17895,21600,3705,0.537125647009816,,0.01,0.2,800,5,40,5,50,6,
distorted_greedy,"{2432, 3080, 3211, 2573, 2712, 2979, 4004, 1447, 2473, 1194, 3753, 2861, 3630, 4529, 4532, 56, 313, 833, 1611, 1232, 981, 4438, 220, 1504, 2145, 3178, 2032, 369, 3833}",29615,32800,3185,140.86567038402427,,,0.3,800,5,40,5,50,6,
cost_scaled_greedy,"{2432, 3080, 3211, 2573, 2712, 2979, 4004, 1447, 2473, 1194, 3753, 2861, 3630, 4529, 4532, 56, 833, 1611, 1232, 981, 220, 1504, 2145, 3178, 2032, 369, 3833}",29215,31200,1985,127.29711527499603,,,0.3,800,5,40,5,50,6,
cost_scaled_lazy_exact_greedy,"{2432, 833, 3080, 3211, 1611, 2573, 1232, 981, 2712, 220, 1504, 2145, 2979, 4004, 1447, 2473, 1194, 3753, 3178, 2861, 3630, 2032, 4529, 369, 4532, 56, 3833}",29215,31200,1985,0.02539920900017023,,,0.3,800,5,40,5,50,6,
unconstrained_linear,"{1155, 4, 5, 6, 135, 9, 13, 36, 39, 816, 1072, 182, 55, 56, 566, 442, 574, 576, 962, 203, 1232, 84, 85, 981, 729, 218, 220, 352, 233, 494, 369}",25439,28800,3361,0.07629339199047536,,,0.3,800,5,40,5,50,6,
unconstrained_distorted_greedy,"{1171, 2712, 1442, 2979, 4004, 1447, 2473, 1194, 2098, 4019, 4532, 3125, 182, 569, 4031, 705, 1611, 203, 1999, 1232, 220, 352, 4320, 994, 1895, 3178, 3441, 3833, 4346}",23581,27200,3619,0.3015758090186864,,,0.3,800,5,40,5,50,6,
stochastic_distorted_greedy,"{2573, 1171, 2712, 1442, 2979, 4004, 1447, 2473, 1194, 3753, 3630, 2098, 4019, 4532, 3125, 182, 569, 313, 4031, 2625, 705, 1611, 203, 1999, 1232, 981, 4438, 220, 352, 4320, 1895, 3178, 3441, 369, 3833, 4346}",27595,32800,5205,0.8950467969989404,,0.01,0.3,800,5,40,5,50,6,
distorted_greedy,"{2690, 142, 911, 2448, 401, 3603, 543, 2218, 3134, 2497, 2626, 1988, 4170, 1485, 3027, 981, 982, 856, 1753, 1120, 3050, 1517, 622, 2287, 2420, 375, 3195, 636}",27120,30400,3280,239.77182980801445,,,0.4,800,5,40,5,50,6,
cost_scaled_greedy,"{2690, 142, 911, 3603, 543, 3134, 2497, 1988, 4170, 1485, 3027, 981, 982, 856, 1753, 1120, 1517, 622, 2287, 2420, 375, 3195, 636}",25520,26400,880,203.27505631401436,,,0.4,800,5,40,5,50,6,
cost_scaled_lazy_exact_greedy,"{2497, 2690, 1988, 4170, 1485, 142, 911, 3603, 3027, 981, 982, 856, 1753, 543, 1120, 1517, 622, 2287, 2420, 375, 3195, 636, 3134}",25520,26400,880,0.0333306550164707,,,0.4,800,5,40,5,50,6,
unconstrained_linear,"{4, 133, 6, 7, 266, 12, 142, 911, 144, 153, 543, 38, 424, 301, 1072, 317, 64, 583, 329, 203, 981, 986, 1120, 487, 105, 629, 1272, 253, 122, 636, 509}",24436,27200,2764,0.12261400796705857,,,0.4,800,5,40,5,50,6,
unconstrained_distorted_greedy,"{4480, 266, 1804, 2060, 3599, 3603, 2201, 1818, 543, 4383, 3368, 1705, 2218, 961, 4165, 4170, 1485, 1747, 3027, 3833, 1753, 1120, 1640, 3050, 2163, 2297, 1914, 636, 2687}",20526,24000,3474,0.6584809229825623,,,0.4,800,5,40,5,50,6,
stochastic_distorted_greedy,"{4480, 4098, 266, 1804, 2060, 142, 3599, 911, 2448, 401, 3603, 1818, 543, 4383, 3368, 1705, 2218, 3134, 961, 2626, 1988, 4165, 4170, 1485, 1747, 3027, 3833, 1753, 1120, 1640, 2163, 2297, 1914, 636, 2687}",25351,29600,4249,1.3395746169844642,,0.01,0.4,800,5,40,5,50,6,
distorted_greedy,"{4098, 2947, 266, 154, 3740, 4004, 3878, 2473, 2217, 1963, 2987, 813, 297, 2862, 3892, 3773, 3007, 833, 1475, 1988, 3910, 4552, 340, 982, 1753, 220, 222, 2270, 1120, 3553, 4077, 245}",30515,32800,2285,431.4793690009974,,,0.5,800,5,40,5,50,6,
cost_scaled_greedy,"{4098, 2947, 266, 399, 154, 3740, 4004, 3878, 2217, 1963, 2987, 813, 2862, 3892, 3773, 3007, 833, 1475, 1988, 3910, 4552, 4428, 340, 982, 1753, 220, 2270, 1120, 3553, 4077}",29965,32000,2035,397.1264006749843,,,0.5,800,5,40,5,50,6,
