alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
distorted_greedy,[523],2390,2400,10,0.0003258280921727419,,,0.001,800,1,3,1,50,6,
cost_scaled_greedy,[523],2390,2400,10,0.00019151705782860518,,,0.001,800,1,3,1,50,6,
cost_scaled_lazy_exact_greedy,[523],2390,2400,10,0.00017794105224311352,,,0.001,800,1,3,1,50,6,
unconstrained_linear,[523],2390,2400,10,0.00014415697660297155,,,0.001,800,1,3,1,50,6,
unconstrained_distorted_greedy,[523],2390,2400,10,0.000308253918774426,,,0.001,800,1,3,1,50,6,
stochastic_distorted_greedy,[523],2390,2400,10,0.0052768479799851775,,0.01,0.001,800,1,3,1,50,6,
distorted_greedy,"[1679, 336, 1446, 1380, 224, 867, 1138, 178, 1702, 1526, 1591, 666, 728, 1299, 1403, 1736, 571, 563, 55, 1008, 927, 502]",31613,32000,387,0.803425803896971,,,0.1,800,5,40,5,50,6,
cost_scaled_greedy,"[1679, 336, 1446, 1380, 224, 867, 1138, 178, 1702, 1526, 1591, 666, 728, 1299, 1403, 1736, 571, 563, 55, 1008, 927, 502]",31613,32000,387,0.6660369939636439,,,0.1,800,5,40,5,50,6,
cost_scaled_lazy_exact_greedy,"[1679, 336, 1446, 1380, 224, 867, 1138, 178, 1702, 1526, 59, 666, 728, 1299, 1403, 1736, 571, 55, 563, 1008, 927, 502]",31613,32000,387,0.008569877943955362,,,0.1,800,5,40,5,50,6,
unconstrained_linear,"[1026, 1539, 4, 531, 534, 24, 1571, 1581, 51, 52, 563, 55, 571, 1097, 595, 1116, 1640, 1138, 1679, 152, 666, 1702, 1736, 728, 1299, 1380, 356, 927, 1008, 502]",31287,32000,713,0.004274260951206088,,,0.1,800,5,40,5,50,6,
unconstrained_distorted_greedy,"[1116, 224, 1702, 1026, 1008, 1378, 728, 534, 934, 1051, 242, 492, 92, 608, 1138, 502, 356, 1692, 1571, 1380, 804, 55, 1299, 927]",29100,29600,500,0.014554694993421435,,,0.1,800,5,40,5,50,6,
stochastic_distorted_greedy,"[1601, 1446, 1155, 376, 1212, 427, 224, 1463, 1692, 59, 1522, 804, 55, 1380, 400, 927, 263, 1736, 1349, 1104, 492, 502, 1008, 1571, 666, 1299, 728, 356]",31484,32000,516,0.05578601895831525,,0.01,0.1,800,5,40,5,50,6,
distorted_greedy,"[111, 963, 24, 1580, 1581, 256, 1006, 136, 1684, 356, 608, 152, 0, 832, 1479, 894, 1380, 1391, 1671, 862, 933]",32425,32800,375,3.2974384219851345,,,0.2,800,5,40,5,50,6,
cost_scaled_greedy,"[111, 963, 24, 1580, 1581, 256, 1006, 136, 1684, 356, 608, 152, 0, 832, 1479, 894, 1380, 1391, 1671, 862, 933]",32425,32800,375,3.2767815809929743,,,0.2,800,5,40,5,50,6,
cost_scaled_lazy_exact_greedy,"[111, 963, 24, 1580, 1581, 256, 1006, 136, 1684, 356, 608, 152, 832, 1479, 894, 1380, 1391, 1671, 862, 933]",31633,32000,367,0.012738004908896983,,,0.2,800,5,40,5,50,6,
unconstrained_linear,"[0, 4, 15, 21, 24, 35, 51, 55, 132, 136, 142, 152, 256, 263, 307, 336, 356, 373, 376, 503, 563, 608, 832, 862, 894, 927, 933, 963, 1174, 1391, 1479]",32072,32800,728,0.007605256978422403,,,0.2,800,5,40,5,50,6,
unconstrained_distorted_greedy,"[1076, 894, 519, 754, 307, 1116, 1391, 224, 24, 263, 1584, 933, 1606, 478, 1034, 1438, 376, 832, 862, 804, 734, 608, 1324, 297, 1403, 776, 761, 1138, 1174, 927, 563, 1640, 174]",29008,29600,592,0.032906542997807264,,,0.2,800,5,40,5,50,6,
