Algorithm,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
stochastic_distorted_greedy_0.1,[523],2390,2400,10,0.0006748469968442805,,0.1,0.001,800,1,3,1,50,6,
stochastic_distorted_greedy_0.1,"[867, 59, 1704, 1692, 60, 376, 1463, 1104, 1380, 1212, 870, 55, 563, 1378, 804, 1138, 934, 1403, 1640, 1736, 1679, 1446, 152, 1526, 502, 1299, 728, 1008, 666, 263]",30690,31200,510,0.05285364500014112,,0.1,0.1,800,5,40,5,50,6,
stochastic_distorted_greedy_0.1,"[1076, 894, 754, 1391, 224, 1671, 24, 1704, 1606, 478, 1034, 1438, 376, 862, 933, 804, 734, 608, 1324, 297, 1403, 776, 761, 263, 1138, 1174, 1008, 563, 1640, 152, 832, 256, 136, 1479, 0]",32229,32800,571,0.0762085069945897,,0.1,0.2,800,5,40,5,50,6,
stochastic_distorted_greedy_0.1,"[1317, 33, 1673, 974, 91, 960, 515, 1138, 529, 1343, 1649, 1693, 815, 1485, 1640, 1245, 1645, 505, 1411, 832, 590, 761, 176, 1287, 1311, 98, 1008, 1174, 658, 37, 563, 666, 894, 592, 296, 179, 1639, 796, 1706, 123]",37622,38400,778,0.12275933800265193,,0.1,0.3,800,5,40,5,50,6,
stochastic_distorted_greedy_0.1,"[1287, 1487, 508, 729, 457, 1558, 728, 1408, 1630, 1317, 1231, 1270, 1370, 243, 1635, 223, 933, 1411, 1301, 37, 1694, 311, 1739, 408, 898, 616, 152, 169, 12, 1030, 1175, 1498, 359, 357, 1495, 970, 832]",37642,38400,758,0.18555750199448084,,0.1,0.4,800,5,40,5,50,6,
stochastic_distorted_greedy_0.1,"[1033, 1192, 381, 548, 1231, 1245, 545, 1301, 658, 1174, 636, 443, 1498, 1384, 1540, 1456, 394, 934, 963, 872, 1152, 359, 1320, 1552, 1639, 522, 250, 505, 1038, 179, 1759, 1314, 756, 312, 1563, 1032, 815, 933, 600, 894, 862, 1640, 1729]",37662,38400,738,0.23659498800407164,,0.1,0.5,800,5,40,5,50,6,
stochastic_distorted_greedy_0.1,"[1729, 704, 224, 182, 1593, 142, 1022, 1630, 1588, 883, 1550, 856, 909, 243, 432, 330, 137, 613, 1307, 461, 403, 1253, 433, 519, 1401, 653, 503, 1008, 1227, 500, 862, 1608, 1046, 1726, 1467, 719, 562, 1175, 832, 1694]",38418,39200,782,0.3824431719986024,,0.1,0.6,800,5,40,5,50,6,
stochastic_distorted_greedy_0.1,"[595, 401, 264, 1495, 119, 123, 1351, 754, 729, 1343, 576, 1596, 784, 367, 634, 116, 1041, 1756, 960, 464, 1152, 353, 226, 1563, 403, 526, 1639, 993, 742, 37, 588, 176, 1234, 970, 1171, 358, 1188]",38457,39200,743,0.4941427579979063,,0.1,0.7,800,5,40,5,50,6,
stochastic_distorted_greedy_0.1,"[1648, 514, 240, 229, 1630, 700, 752, 1224, 651, 278, 1255, 829, 328, 1096, 1343, 43, 582, 1008, 787, 553, 606, 356, 458, 1360, 212, 1304, 253, 1347, 138, 745, 274, 1608, 410, 592, 1005, 1175, 815, 719, 629, 1436]",39269,40000,731,0.4355901500020991,,0.1,0.8,800,5,40,5,50,6,
stochastic_distorted_greedy_0.1,"[145, 202, 306, 1631, 714, 368, 1077, 1047, 581, 394, 1542, 563, 8, 1116, 291, 967, 305, 1759, 739, 1453, 1548, 698, 1315, 539, 1212, 274, 747, 1014, 1298, 345, 212, 353, 663, 1171, 1115, 532, 1254, 249, 815, 741, 174, 1637, 868]",39133,40000,867,0.6250045699998736,,0.1,0.9,800,5,40,5,50,6,
stochastic_distorted_greedy_0.1,"[97, 814, 677, 1132, 537, 982, 68, 1550, 1001, 258, 1260, 170, 149, 546, 99, 36, 1761, 1527, 1244, 1362, 1045, 1102, 907, 554, 1719, 1465, 81, 582, 880, 145, 1760, 1208, 858, 110, 594, 1107, 247, 889, 355, 1739, 1309, 312, 1687, 1298, 862]",39123,40000,877,0.5924085539954831,,0.1,1.0,800,5,40,5,50,6,
stochastic_distorted_greedy_0.1,[],0,0,0,0.0002945590022136457,,0.1,0.001,800,0,1,1,50,7,
