alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
stochastic_distorted_greedy,[523],2390,2400,10,0.0005310480046318844,,0.1,0.001,800,1,3,1,50,6,
stochastic_distorted_greedy,[523],2390,2400,10,0.0003295739952591248,,0.05,0.001,800,1,3,1,50,6,
stochastic_distorted_greedy,[523],2390,2400,10,0.0005504919972736388,,0.01,0.001,800,1,3,1,50,6,
stochastic_distorted_greedy,[523],2390,2400,10,0.0007643700009793974,,0.005,0.001,800,1,3,1,50,6,
baseline_topk,[523],2390,2400,10,0.0006511379979201593,,,0.001,800,1,3,1,50,6,
stochastic_distorted_greedy,"[492, 59, 1104, 1072, 1611, 376, 1463, 916, 1380, 1152, 1744, 935, 986, 296, 245, 1601, 1403, 1736, 1679, 653, 1070, 502, 1467, 1008, 88, 263]",22709,23200,491,0.04355705600028159,,0.1,0.1,800,5,5,25,50,6,
stochastic_distorted_greedy,"[1462, 1679, 356, 178, 406, 1526, 1370, 1744, 1072, 1639, 1104, 1111, 1453, 88, 1601, 502, 653, 1070, 92, 1206, 1702, 1008, 1152, 1736, 1522]",21890,22400,510,0.0719810829978087,,0.05,0.1,800,5,5,25,50,6,
stochastic_distorted_greedy,"[1104, 1526, 439, 666, 477, 1591, 1380, 1008, 653, 726, 1744, 1640, 1314, 88, 502, 974, 1345, 1072, 1736, 1702, 1751, 1152, 1467, 356, 296]",22678,23200,522,0.07314987499557901,,0.01,0.1,800,5,5,25,50,6,
stochastic_distorted_greedy,"[653, 1571, 881, 550, 152, 1639, 1467, 508, 927, 1601, 1345, 771, 1072, 1104, 1403, 1380, 1736, 502, 986, 1702, 1008, 1070, 1152, 296, 88]",22654,23200,546,0.05331573000148637,,0.005,0.1,800,5,5,25,50,6,
baseline_topk,"[224, 881, 178, 1601, 1152, 1526, 1679, 59, 263, 974, 1736, 726, 1008, 1302, 296, 356, 653, 152, 1380, 571, 88, 1072, 502]",22729,23200,471,0.008259455004008487,,,0.1,800,5,5,25,50,6,
stochastic_distorted_greedy,"[762, 519, 754, 1391, 1671, 296, 1552, 933, 1649, 52, 1438, 376, 729, 702, 1635, 179, 1324, 1403, 412, 776, 1097, 24, 1164, 1299, 1072, 1138, 563, 174, 534, 796]",27488,28000,512,0.07402553300198633,,0.1,0.2,800,5,5,30,50,6,
stochastic_distorted_greedy,"[843, 1324, 1008, 1591, 356, 111, 1622, 519, 1522, 1152, 737, 691, 1184, 653, 360, 933, 1169, 256, 396, 718, 1444, 1206, 1550, 681, 563, 174, 1164, 1391, 179, 1552, 796, 296]",26528,27200,672,0.07037871800275752,,0.05,0.2,800,5,5,30,50,6,
stochastic_distorted_greedy,"[1411, 1229, 963, 260, 1033, 1038, 382, 1314, 1550, 152, 1522, 371, 376, 191, 933, 242, 1391, 1671, 570, 24, 729, 702, 534, 796, 179, 1552, 296, 519]",27456,28000,544,0.09324690799985547,,0.01,0.2,800,5,5,30,50,6,
stochastic_distorted_greedy,"[1552, 1411, 1444, 1155, 843, 0, 412, 60, 626, 895, 1258, 376, 1684, 1391, 307, 242, 174, 1227, 1152, 1008, 1635, 933, 729, 296, 563, 519, 534, 1345, 796, 1403]",27422,28000,578,0.1275039999964065,,0.005,0.2,800,5,5,30,50,6,
baseline_topk,"[376, 1310, 1391, 1072, 1451, 1111, 523, 963, 916, 933, 1324, 179, 1753, 296, 356, 152, 1550, 488, 477, 1552, 754, 396, 702, 796, 519, 534]",27494,28000,506,0.02291529099602485,,,0.2,800,5,5,30,50,6,
stochastic_distorted_greedy,"[1317, 1399, 690, 974, 91, 229, 264, 1138, 1343, 1649, 815, 1553, 169, 1640, 122, 1684, 811, 505, 1291, 761, 176, 1311, 359, 353, 1174, 793, 37, 927, 894, 592, 296, 1694, 256]",30552,31200,648,0.17466090200468898,,0.1,0.3,800,5,5,33,50,6,
stochastic_distorted_greedy,"[488, 382, 492, 1310, 1284, 1679, 1553, 782, 386, 522, 963, 263, 37, 592, 800, 894, 116, 264, 1714, 503, 1640, 307, 681, 927, 1580, 296, 359, 176, 122, 256, 1694]",29776,30400,624,0.12199570800294168,,0.05,0.3,800,5,5,33,50,6,
stochastic_distorted_greedy,"[895, 263, 371, 1314, 1408, 523, 934, 1104, 758, 776, 1744, 1137, 122, 1649, 796, 229, 330, 1336, 974, 927, 287, 793, 1291, 1694, 37, 815, 256, 1406, 176, 296, 1640, 406, 894]",30601,31200,599,0.1787915469976724,,0.01,0.3,800,5,5,33,50,6,
stochastic_distorted_greedy,"[142, 977, 1302, 359, 1380, 1336, 219, 1070, 1702, 1451, 152, 1714, 1694, 711, 963, 459, 735, 782, 55, 798, 894, 729, 796, 1580, 93, 296, 256, 815, 1640, 176, 37, 122]",30583,31200,617,0.1620820640018792,,0.005,0.3,800,5,5,33,50,6,
baseline_topk,"[1390, 1671, 93, 531, 1684, 356, 798, 1679, 229, 793, 459, 735, 974, 122, 55, 106, 296, 37, 1408, 256, 592, 359, 176, 353, 815, 894, 1380, 1694]",30689,31200,511,0.02647413899831008,,,0.3,800,5,5,33,50,6,
