Algorithm,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
stochastic_distorted_greedy_0.1,"[1215, 584]",3050,3200,150,0.002886187001422513,,0.1,0.001,800,5,5,16,50,6,
stochastic_distorted_greedy_0.1,"[1208, 1805, 382, 4098, 103, 1219, 1335, 3229, 1522, 2430, 549, 3054, 2098, 4401, 1215, 2810, 732, 4561, 2906, 212, 776, 2841, 946, 3427, 502, 2757, 2669]",20280,23200,2920,0.20009084699995586,,0.1,0.1,800,5,5,40,50,6,
stochastic_distorted_greedy_0.1,"[825, 225, 3085, 4441, 1641, 369, 4490, 2901, 4183, 1506, 2641, 194, 4471, 1071, 813, 2463, 2378, 97, 3746, 1571, 3703, 3713, 1761, 2973, 4328, 981, 2448, 4244, 2327, 4124]",22320,26400,4080,0.4105348029988818,,0.1,0.2,800,5,5,40,50,6,
stochastic_distorted_greedy_0.1,"[1171, 133, 2949, 384, 999, 1640, 112, 4056, 3106, 2296, 3146, 2463, 2531, 1804, 4409, 1448, 3628, 176, 1611, 222, 1079, 686, 4323, 1030, 3723, 3791, 4532, 4222, 981, 4136, 636, 1619, 863]",24990,28800,3810,0.6349542210009531,,0.1,0.3,800,5,5,40,50,6,
stochastic_distorted_greedy_0.1,"[328, 1650, 1213, 338, 1640, 4030, 3250, 3885, 1485, 1968, 1337, 1753, 2059, 2916, 3368, 634, 1481, 3215, 2213, 3208, 4161, 410, 3878, 2448, 318, 4528, 3092, 3134, 1000, 975, 485, 1604, 3041]",23622,28000,4378,0.9382217890015454,,0.1,0.4,800,5,5,40,50,6,
stochastic_distorted_greedy_0.1,"[4309, 2134, 2432, 824, 3993, 3643, 1231, 3027, 3248, 2843, 210, 4416, 1475, 3012, 1934, 1753, 81, 1545, 4532, 2109, 2059, 3033, 3230, 3411, 2861, 3313, 981, 168, 4136, 1700, 2212, 696, 2906, 1235, 1897, 340, 324, 4004]",28420,32800,4380,1.1716861219974817,,0.1,0.5,800,5,5,40,50,6,
stochastic_distorted_greedy_0.1,"[1957, 1041, 1886, 2171, 2747, 2345, 2608, 2694, 2293, 1522, 1750, 3668, 1650, 1355, 1669, 767, 3892, 1681, 3248, 3505, 2074, 2973, 4382, 215, 3336, 1653, 1535, 176, 1611, 2656, 49, 318, 833, 334, 2673, 290]",26055,30400,4345,1.6010104460001455,,0.1,0.6,800,5,5,40,50,6,
stochastic_distorted_greedy_0.1,"[3898, 2013, 855, 1233, 161, 3089, 550, 415, 771, 1711, 4268, 3785, 2520, 1094, 3270, 1897, 1102, 2043, 86, 2861, 683, 3878, 2905, 950, 2476, 4532, 4203, 2417, 328, 758, 2434, 4304, 55, 1302, 962, 429, 144, 816, 215, 3286]",29290,33600,4310,2.0845316850027302,,0.1,0.7,800,5,5,40,50,6,
stochastic_distorted_greedy_0.1,"[3950, 496, 1548, 957, 2908, 3653, 4443, 1322, 2836, 2633, 168, 2915, 2365, 771, 3089, 793, 4300, 2292, 2391, 2511, 29, 2094, 2345, 1315, 219, 1481, 618, 2270, 3633, 2814, 4487, 2116, 824, 4049, 144, 3956, 3892, 3509, 333, 4244, 1506, 3669, 1700]",33889,37600,3711,2.6634746650015586,,0.1,0.8,800,5,5,40,50,6,
stochastic_distorted_greedy_0.1,"[1448, 601, 1356, 1139, 1939, 2007, 4017, 932, 1999, 369, 1032, 4551, 1640, 1006, 122, 2151, 583, 2476, 2542, 2519, 4521, 105, 4486, 1559, 2500, 4172, 3446, 3384, 2508, 2769, 3873, 3554, 103, 2720, 783, 2546, 1887, 1690, 1053, 2910, 879, 2273, 723, 3329]",32920,37600,4680,2.6633332570054336,,0.1,0.9,800,5,5,40,50,6,
