alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
greedy,"[1215, 584]",3050,3200,150,0.002910628041718155,,,0.001,800,5,5,16,50,6,
greedy,"[97, 297, 2669, 1215, 2757, 1335, 946, 2804, 3229, 3427, 369, 502, 2810, 212, 776, 3054, 4401, 3012]",22310,24000,1690,13.092182583990507,,,0.1,800,5,5,40,50,6,
greedy,"[4378, 1219, 813, 1506, 1761, 351, 1625, 1641, 2345, 2463, 3131, 3878, 2378, 3713, 3746, 981, 2382, 3857, 2327, 4244, 4376, 2641, 4328, 2448, 4124, 4270]",23400,27200,3800,51.42169859097339,,,0.2,800,5,5,40,50,6,
greedy,"[3146, 2463, 825, 981, 1611, 876, 1448, 112, 154, 222, 2531, 3791, 218, 636, 686, 1079, 2074, 1030, 4136, 863, 3723, 176, 4222, 4323, 4532]",26085,28800,2715,117.52931498602265,,,0.3,800,5,5,40,50,6,
greedy,"[142, 2248, 771, 2448, 3050, 1057, 1115, 1243, 1485, 1604, 2213, 3041, 3878, 4335, 4552, 363, 1753, 3633, 4490, 4507, 634, 2916, 220, 1481, 2641, 318, 975, 485, 1000]",25401,29600,4199,206.60190475999843,,,0.4,800,5,5,40,50,6,
greedy,"[4558, 3209, 2032, 3596, 2378, 1753, 4004, 4136, 2906, 4532, 21, 324, 886, 1120, 1988, 1487, 2212, 340, 696, 2850, 220, 1232, 1475, 1897, 2861, 1700]",30991,32800,1809,316.58428690303117,,,0.5,800,5,5,40,50,6,
greedy,"[55, 4459, 3960, 3336, 767, 549, 22, 49, 215, 356, 688, 833, 1041, 1120, 1535, 3684, 3787, 3892, 2814, 1522, 1681, 290, 1611, 4469, 1653, 176, 2673, 3227]",26838,31200,4362,473.4476832820219,,,0.6,800,5,5,40,50,6,
greedy,"[55, 4552, 816, 144, 586, 3146, 754, 3012, 4532, 36, 112, 161, 215, 427, 782, 1410, 1711, 2658, 3145, 4364, 843, 2476, 3785, 686, 962, 855, 2043, 3286, 758, 3227]",32125,35200,3075,648.9363601829973,,,0.7,800,5,5,40,50,6,
greedy,"[1374, 2716, 622, 2510, 2894, 1243, 855, 2486, 29, 31, 144, 771, 1327, 1447, 1578, 1909, 1988, 2116, 2345, 2368, 3892, 3956, 4049, 1506, 3509, 2476, 2343, 3669, 4244, 1700, 4487]",35170,37600,2430,858.7165267380187,,,0.8,800,5,5,40,50,6,
greedy,"[2508, 356, 1887, 13, 1888, 3900, 2756, 4543, 723, 103, 514, 579, 833, 892, 932, 1270, 1625, 1690, 2051, 2077, 2919, 624, 3070, 1053, 2476, 3628, 2542, 4136, 2546, 2151, 3329]",36440,38400,1960,1093.82160664798,,,0.9,800,5,5,40,50,6,
greedy,"[3351, 85, 3840, 4050, 153, 1053, 3508, 2976, 255, 394, 565, 708, 1002, 1327, 1447, 1988, 2552, 2579, 2919, 3145, 1386, 172, 986, 1566, 2000, 4392, 414, 754, 1631, 1686]",35256,38400,3144,1258.8697184190387,,,1.0,800,5,5,40,50,6,
