Algorithm,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
stochastic_distorted_greedy_0.1,[687],3190,3200,10,0.019628343001386384,,0.1,0.4,800,5,40,5,50,6,1
stochastic_distorted_greedy_0.1,"[687, 691, 287, 290, 223]",12738,12800,62,0.0474847570003476,,0.1,0.4,800,5,40,5,50,6,5
stochastic_distorted_greedy_0.1,"[728, 287, 37, 1679, 1411, 852, 739, 394, 1495, 687]",19825,20000,175,0.07396106599844643,,0.1,0.4,800,5,40,5,50,6,10
stochastic_distorted_greedy_0.1,"[881, 37, 1411, 1495, 520, 1370, 702, 728, 691, 223, 1567, 477, 243, 832, 1138]",23757,24000,243,0.05165461100114044,,0.1,0.4,800,5,40,5,50,6,15
stochastic_distorted_greedy_0.1,"[971, 1413, 1671, 523, 739, 287, 1687, 687, 1495, 872, 588, 1301, 741, 279, 1465, 990, 394, 1138, 37, 784]",27736,28000,264,0.05923284199889167,,0.1,0.4,800,5,40,5,50,6,20
stochastic_distorted_greedy_0.1,"[1287, 687, 37, 223, 290, 508, 832, 394, 1688, 895, 741, 999, 1371, 287, 1467, 1175, 584, 1022, 382, 31, 1033, 454, 1231, 1314]",31601,32000,399,0.05799680100244585,,0.1,0.4,800,5,40,5,50,6,25
stochastic_distorted_greedy_0.1,"[687, 223, 999, 210, 900, 510, 670, 691, 1413, 658, 1411, 1687, 20, 702, 741, 1485, 1293, 616, 1498, 892, 1046, 1391, 1314, 832, 1694, 174, 406, 961]",32347,32800,453,0.0527046839997638,,0.1,0.4,800,5,40,5,50,6,30
stochastic_distorted_greedy_0.1,"[37, 687, 20, 1006, 1175, 741, 1495, 516, 990, 1291, 287, 1679, 895, 1231, 1320, 524, 31, 588, 294, 832, 971, 784, 169, 1299, 739, 454, 1391, 359]",33974,34400,426,0.055623970001761336,,0.1,0.4,800,5,40,5,50,6,35
stochastic_distorted_greedy_0.1,"[438, 670, 769, 477, 59, 691, 1635, 733, 37, 1314, 658, 1371, 221, 1291, 739, 616, 406, 741, 459, 1671, 519, 1655, 1465, 152, 1030, 1687, 602, 1694, 12, 1391, 1498, 832, 1231]",37015,37600,585,0.05359587199927773,,0.1,0.4,800,5,40,5,50,6,40
stochastic_distorted_greedy_0.1,"[1603, 832, 728, 769, 999, 1193, 757, 37, 990, 1371, 1038, 169, 116, 764, 394, 31, 1314, 687, 1465, 1291, 1391, 1581, 1231, 784, 174, 1299, 1694, 1175, 1495, 1138, 1739, 12]",37027,37600,573,0.06360031599979266,,0.1,0.4,800,5,40,5,50,6,45
stochastic_distorted_greedy_0.1,"[990, 666, 287, 691, 1152, 687, 1371, 1039, 741, 508, 523, 524, 1540, 1030, 1302, 832, 1231, 1301, 1580, 756, 290, 1498, 1293, 1687, 616, 596, 1175, 357, 1495, 1314, 169, 359, 12, 152]",36284,36800,516,0.062317391999386025,,0.1,0.4,800,5,40,5,50,6,50
stochastic_distorted_greedy_0.1,[20],3190,3200,10,0.040584193000540836,,0.1,1.0,800,5,40,5,50,6,1
stochastic_distorted_greedy_0.1,"[20, 1098, 977, 858, 1309]",12724,12800,76,0.0930445400008466,,0.1,1.0,800,5,40,5,50,6,5
stochastic_distorted_greedy_0.1,"[20, 1309, 764, 1574, 243, 1408, 913, 391, 136, 355]",19893,20000,107,0.108186638000916,,0.1,1.0,800,5,40,5,50,6,10
stochastic_distorted_greedy_0.1,"[1551, 858, 799, 913, 20, 805, 1548, 1203, 1098, 1406, 1255, 849, 897, 1561, 961]",27757,28000,243,0.11226864799755276,,0.1,1.0,800,5,40,5,50,6,15
stochastic_distorted_greedy_0.1,"[1098, 858, 1697, 1310, 977, 1011, 1548, 710, 1408, 394, 1593, 1291, 703, 602, 772, 1706, 1465, 887, 1253, 229]",30195,30400,205,0.11687395000262768,,0.1,1.0,800,5,40,5,50,6,20
stochastic_distorted_greedy_0.1,"[448, 871, 1309, 913, 1629, 378, 376, 1291, 1255, 897, 1519, 526, 1436, 1066, 972, 264, 800, 1561, 665, 1687, 805, 906, 530, 394, 514]",34867,35200,333,0.1561092310003005,,0.1,1.0,800,5,40,5,50,6,25
stochastic_distorted_greedy_0.1,"[1107, 1717, 977, 170, 376, 1071, 789, 1548, 394, 849, 1011, 1118, 1008, 580, 703, 1253, 1384, 325, 1133, 1255, 1561, 1191, 1203, 1206, 1390, 1299, 1298, 341, 1197]",37216,37600,384,0.1361398770022788,,0.1,1.0,800,5,40,5,50,6,30
stochastic_distorted_greedy_0.1,"[764, 1561, 20, 438, 31, 736, 977, 1291, 1102, 1465, 526, 1371, 686, 1011, 462, 798, 1491, 91, 961, 1253, 1608, 325, 248, 563, 887, 1298, 907, 602, 1706, 705, 796]",38022,38400,378,0.13831016800031648,,0.1,1.0,800,5,40,5,50,6,35
stochastic_distorted_greedy_0.1,"[378, 1574, 1423, 221, 913, 79, 1251, 789, 897, 1008, 247, 1470, 1465, 1309, 1287, 254, 1689, 42, 1390, 1580, 1133, 1495, 325, 20, 1445, 592, 1005, 862, 418, 1011, 514]",38014,38400,386,0.1473207810013264,,0.1,1.0,800,5,40,5,50,6,40
stochastic_distorted_greedy_0.1,"[805, 1514, 125, 858, 897, 692, 1561, 1309, 483, 582, 1408, 1287, 1056, 47, 818, 1526, 336, 60, 1107, 220, 910, 1465, 1197, 1088, 789, 592, 1255, 1760, 705, 906, 907, 613, 862]",38795,39200,405,0.14992703899770274,,0.1,1.0,800,5,40,5,50,6,45
stochastic_distorted_greedy_0.1,"[1629, 11, 483, 1071, 977, 1659, 448, 1107, 736, 897, 771, 1291, 1309, 264, 789, 1191, 1298, 972, 1551, 86, 20, 263, 526, 257, 258, 1495, 1349, 1465, 796, 705, 123, 503, 1042]",38639,39200,561,0.1631707220003591,,0.1,1.0,800,5,40,5,50,6,50
stochastic_distorted_greedy_0.1,[1037],3185,3200,15,0.023047352999128638,,0.1,0.4,800,5,40,5,50,7,1
stochastic_distorted_greedy_0.1,"[586, 451, 754, 981, 1304]",11933,12000,67,0.061086916000931524,,0.1,0.4,800,5,40,5,50,7,5
stochastic_distorted_greedy_0.1,"[484, 586, 740, 353, 216, 463, 981, 179, 12, 1132]",18225,18400,175,0.07216521800000919,,0.1,0.4,800,5,40,5,50,7,10
stochastic_distorted_greedy_0.1,"[1087, 432, 1543, 556, 602, 1132, 353, 1324, 1301, 451, 981, 458, 1418, 1687, 463]",23016,23200,184,0.06330196999988402,,0.1,0.4,800,5,40,5,50,7,15
stochastic_distorted_greedy_0.1,"[451, 1463, 353, 1574, 37, 325, 410, 981, 649, 146, 1145, 602, 961, 1313, 1548, 458, 1132, 1203, 397, 1287]",28456,28800,344,0.06841053999960423,,0.1,0.4,800,5,40,5,50,7,20
