alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
greedy,[463],2395,2400,5,0.016946019022725523,,,0.4,800,5,5,33,50,6,1
greedy,"[463, 1679, 1579, 221, 798]",10372,10400,28,0.096791040035896,,,0.4,800,5,5,33,50,6,5
greedy,"[463, 1679, 1579, 221, 798, 784, 741, 687, 1580, 616]",18325,18400,75,0.17572491598548368,,,0.4,800,5,5,33,50,6,10
greedy,"[463, 1679, 1579, 221, 798, 784, 741, 687, 1580, 616, 1684, 1408, 584, 793, 1192]",23072,23200,128,0.2468965970329009,,,0.4,800,5,5,33,50,6,15
greedy,"[463, 1679, 1579, 221, 798, 784, 741, 687, 1580, 616, 1684, 1408, 584, 793, 1192, 1640, 20, 649, 734, 735]",27024,27200,176,0.3296669409610331,,,0.4,800,5,5,33,50,6,20
greedy,"[463, 1679, 1579, 221, 798, 784, 741, 687, 1580, 616, 1684, 1408, 584, 793, 1192, 1640, 20, 649, 734, 735, 1303, 122, 1539, 1655, 1694]",30919,31200,281,0.4021411709836684,,,0.4,800,5,5,33,50,6,25
greedy,"[463, 1679, 1579, 221, 798, 784, 741, 687, 1580, 616, 1684, 1408, 584, 793, 1192, 1640, 20, 649, 734, 735, 1303, 122, 1539, 1655, 1694, 152]",31684,32000,316,0.4767837949912064,,,0.4,800,5,5,33,50,6,30
greedy,"[463, 1679, 1579, 221, 798, 784, 741, 687, 1580, 616, 1684, 1408, 584, 793, 1192, 1640, 20, 649, 734, 735, 1303, 122, 1539, 1655, 1694, 152]",31684,32000,316,0.5648968570167199,,,0.4,800,5,5,33,50,6,35
greedy,"[463, 1679, 1579, 221, 798, 784, 741, 687, 1580, 616, 1684, 1408, 584, 793, 1192, 1640, 20, 649, 734, 735, 1303, 122, 1539, 1655, 1694, 152]",31684,32000,316,0.6790052580181509,,,0.4,800,5,5,33,50,6,40
greedy,"[463, 1679, 1579, 221, 798, 784, 741, 687, 1580, 616, 1684, 1408, 584, 793, 1192, 1640, 20, 649, 734, 735, 1303, 122, 1539, 1655, 1694, 152]",31684,32000,316,0.7466530059464276,,,0.4,800,5,5,33,50,6,45
