Algorithm,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
stochastic_distorted_greedy_0.1,[1243],2375,2400,25,0.1053664259998186,,0.1,0.4,800,5,40,5,50,6,1
stochastic_distorted_greedy_0.1,"[2157, 2930, 260, 3787, 212]",8425,8800,375,0.22116915299920947,,0.1,0.4,800,5,40,5,50,6,5
stochastic_distorted_greedy_0.1,"[2032, 1243, 2157, 4382, 112, 2849, 3050, 4482, 3787, 2626]",14685,16000,1315,0.257659048998903,,0.1,0.4,800,5,40,5,50,6,10
stochastic_distorted_greedy_0.1,"[2032, 4382, 1243, 3787, 4482, 1625, 3273, 2157, 2431, 419, 3050, 3145, 1604, 3721, 2333]",18245,19200,955,0.28957445500054746,,0.1,0.4,800,5,40,5,50,6,15
stochastic_distorted_greedy_0.1,"[2849, 2032, 1604, 2746, 4532, 419, 3787, 4418, 2333, 2198, 4482, 3721, 1625, 1481, 2716, 1968, 4386, 1243, 3041]",22172,23200,1028,0.2820174579974264,,0.1,0.4,800,5,40,5,50,6,20
stochastic_distorted_greedy_0.1,"[3787, 2032, 212, 1604, 4482, 4532, 2746, 2157, 1625, 1243, 3721, 4284, 3937, 784, 419, 4231, 2770, 4031, 369, 721, 1451, 4471, 2448, 2716]",24510,26400,1890,0.3689046440013044,,0.1,0.4,800,5,40,5,50,6,25
stochastic_distorted_greedy_0.1,"[2032, 1243, 3791, 2157, 1420, 2770, 825, 3125, 784, 1604, 4386, 4031, 398, 3937, 3041, 4482, 1327, 308, 2716, 1171, 721, 3145, 2198, 2448, 1451, 1093, 2906, 1481]",25340,28000,2660,0.2914262989979761,,0.1,0.4,800,5,40,5,50,6,30
stochastic_distorted_greedy_0.1,"[732, 208, 2849, 112, 2157, 2198, 500, 3791, 4482, 3125, 3819, 2716, 3878, 2906, 4386, 971, 3787, 2770, 3178, 1000, 1243, 923, 3050, 1481, 1604, 1327, 2626, 2448, 3041, 92]",27420,31200,3780,0.3572959670018463,,0.1,0.4,800,5,40,5,50,6,35
stochastic_distorted_greedy_0.1,"[1604, 3596, 4482, 2203, 343, 112, 2770, 2849, 3878, 3787, 3721, 3125, 1968, 1451, 3250, 923, 4471, 369, 318, 2618, 134, 4552, 2157, 4378, 3937, 1805, 1625, 2608, 2448, 92, 3732]",25881,29600,3719,0.3726793060013733,,0.1,0.4,800,5,40,5,50,6,40
stochastic_distorted_greedy_0.1,"[2431, 2157, 2930, 4170, 787, 1625, 3787, 4482, 3512, 3872, 112, 2198, 3721, 4386, 419, 2716, 3878, 923, 2770, 92, 2906, 1243, 3033, 318, 3088, 4532, 3178, 1930, 1604, 4323, 721, 3041, 4438, 2448]",27280,31200,3920,0.3144682460006152,,0.1,0.4,800,5,40,5,50,6,45
