alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
stochastic_distorted_greedy,[142],3150,3200,50,0.08366344300156925,,0.1,0.4,800,5,5,40,50,6,1
stochastic_distorted_greedy,[142],3150,3200,50,0.0745944669979508,,0.05,0.4,800,5,5,40,50,6,1
stochastic_distorted_greedy,[142],3150,3200,50,0.0793536689998291,,0.01,0.4,800,5,5,40,50,6,1
stochastic_distorted_greedy,[142],3150,3200,50,0.09159390599961625,,0.005,0.4,800,5,5,40,50,6,1
stochastic_distorted_greedy,"[4165, 142, 2248, 2448, 784]",7950,8800,850,0.23136364899983164,,0.1,0.4,800,5,5,40,50,6,5
stochastic_distorted_greedy,"[1650, 771, 142, 2248, 3050]",8740,9600,860,0.2774886220031476,,0.05,0.4,800,5,5,40,50,6,5
stochastic_distorted_greedy,"[4346, 771, 2248, 2448, 3050]",8225,9600,1375,0.3670242590014823,,0.01,0.4,800,5,5,40,50,6,5
stochastic_distorted_greedy,"[142, 2248, 771, 2448, 3050]",9075,10400,1325,0.4060870369976328,,0.005,0.4,800,5,5,40,50,6,5
stochastic_distorted_greedy,"[1650, 4528, 123, 771, 2248, 4306, 3436, 1115, 3041, 1485]",10990,12000,1010,0.27284792899808963,,0.1,0.4,800,5,5,40,50,6,10
stochastic_distorted_greedy,"[1323, 1028, 123, 784, 2705, 4335, 4552, 2213, 1057, 2448]",10450,11200,750,0.3301708180006244,,0.05,0.4,800,5,5,40,50,6,10
stochastic_distorted_greedy,"[142, 4165, 2248, 2213, 2227, 771, 2448, 1485, 4335, 4552]",11825,12800,975,0.49520157599909,,0.01,0.4,800,5,5,40,50,6,10
stochastic_distorted_greedy,"[1650, 2897, 3368, 2213, 2248, 2448, 4335, 3050, 771, 3041]",12135,13600,1465,0.5413197580019187,,0.005,0.4,800,5,5,40,50,6,10
stochastic_distorted_greedy,"[338, 142, 3054, 1115, 4552, 4335, 3878, 3208, 2248, 1753, 3050, 2448, 1604, 220, 2213]",16616,18400,1784,0.28957916800209205,,0.1,0.4,800,5,5,40,50,6,15
stochastic_distorted_greedy,"[771, 285, 1028, 2248, 3050, 3878, 1115, 4552, 1057, 1243, 142, 3041, 2448, 2213, 4490]",15200,16800,1600,0.3702670169986959,,0.05,0.4,800,5,5,40,50,6,15
stochastic_distorted_greedy,"[142, 2248, 771, 3436, 2227, 1485, 1650, 1604, 3633, 2448, 4335, 4161, 4490, 3878, 2213]",16440,17600,1160,0.5224438910008757,,0.01,0.4,800,5,5,40,50,6,15
stochastic_distorted_greedy,"[142, 4165, 4335, 2227, 3436, 2213, 2248, 3041, 3145, 1604, 1115, 2429, 3878, 1753, 4411]",15335,16000,665,0.5789138469990576,,0.005,0.4,800,5,5,40,50,6,15
