alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
distorted_greedy,[974],2390,2400,10,0.0025274150539189577,,,0.05,800,5,5,20,50,6,1
distorted_greedy,"[974, 1245]",3980,4000,20,0.007935022003948689,,,0.05,800,5,5,20,50,6,2
distorted_greedy,"[974, 1245, 1380]",5570,5600,30,0.01615553698502481,,,0.05,800,5,5,20,50,6,3
distorted_greedy,"[974, 1245, 1380, 427]",7150,7200,50,0.02652289206162095,,,0.05,800,5,5,20,50,6,4
distorted_greedy,"[974, 1245, 1380, 427, 771]",7947,8000,53,0.039257442113012075,,,0.05,800,5,5,20,50,6,5
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487]",8739,8800,61,0.05256591900251806,,,0.05,800,5,5,20,50,6,6
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744]",9529,9600,71,0.07066649198532104,,,0.05,800,5,5,20,50,6,7
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508]",10314,10400,86,0.0936752981506288,,,0.05,800,5,5,20,50,6,8
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008]",11094,11200,106,0.11486160405911505,,,0.05,800,5,5,20,50,6,9
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046]",11874,12000,126,0.14018196403048933,,,0.05,800,5,5,20,50,6,10
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072]",12654,12800,146,0.16869288310408592,,,0.05,800,5,5,20,50,6,11
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072, 870]",13414,13600,186,0.19724957505241036,,,0.05,800,5,5,20,50,6,12
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072, 870]",13414,13600,186,0.22874343185685575,,,0.05,800,5,5,20,50,6,13
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072, 870]",13414,13600,186,0.26162206986919045,,,0.05,800,5,5,20,50,6,14
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072, 870]",13414,13600,186,0.30163445486687124,,,0.05,800,5,5,20,50,6,15
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072, 870]",13414,13600,186,0.34130845381878316,,,0.05,800,5,5,20,50,6,16
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072, 870]",13414,13600,186,0.38755779690109193,,,0.05,800,5,5,20,50,6,17
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072, 870]",13414,13600,186,0.4350234770681709,,,0.05,800,5,5,20,50,6,18
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072, 870]",13414,13600,186,0.4858838291838765,,,0.05,800,5,5,20,50,6,19
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072, 870]",13414,13600,186,0.5428795462939888,,,0.05,800,5,5,20,50,6,20
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072, 870]",13414,13600,186,0.609209192218259,,,0.05,800,5,5,20,50,6,21
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072, 870]",13414,13600,186,0.6654560591559857,,,0.05,800,5,5,20,50,6,22
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072, 870]",13414,13600,186,0.7288910811766982,,,0.05,800,5,5,20,50,6,23
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072, 870]",13414,13600,186,0.7930618373211473,,,0.05,800,5,5,20,50,6,24
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072, 870]",13414,13600,186,0.8591335432138294,,,0.05,800,5,5,20,50,6,25
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072, 870]",13414,13600,186,0.9273256212472916,,,0.05,800,5,5,20,50,6,26
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072, 870]",13414,13600,186,0.9969795891083777,,,0.05,800,5,5,20,50,6,27
distorted_greedy,"[974, 1245, 1380, 427, 771, 1487, 1744, 508, 1008, 1046, 1072, 870]",13414,13600,186,1.0714549391996115,,,0.05,800,5,5,20,50,6,28
