alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
partition_matroid_greedy,[1089],3998,4000,2,1.3779667459893972,,,1,800,5,5,35,50,6,,1,1
cost_scaled_partition_matroid_greedy,[1089],3998,4000,2,1.411426017060876,,,1,800,5,5,35,50,6,,1,1
cost_scaled_partition_matroid_lazy_greedy,[1089],3998,4000,2,0.2862225780263543,,,1,800,5,5,35,50,6,,1,1
cost_scaled_partition_matroid_scaled_lazy_greedy,[1089],3998,4000,2,0.2777631338685751,,,1,800,5,5,35,50,6,,1,1
partition_matroid_greedy,"[1089, 1139]",7995,8000,5,1.245259003015235,,,1,800,5,5,35,50,6,,1,2
cost_scaled_partition_matroid_greedy,"[1089, 1139]",7995,8000,5,1.218558015068993,,,1,800,5,5,35,50,6,,1,2
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139]",7995,8000,5,0.2734195168595761,,,1,800,5,5,35,50,6,,1,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1089, 1139]",7995,8000,5,0.2789335008710623,,,1,800,5,5,35,50,6,,1,2
partition_matroid_greedy,"[1089, 1139, 1591]",11985,12000,15,1.2508904989808798,,,1,800,5,5,35,50,6,,1,3
cost_scaled_partition_matroid_greedy,"[1089, 1139, 1591]",11985,12000,15,1.2366749870125204,,,1,800,5,5,35,50,6,,1,3
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139, 1591]",11985,12000,15,0.28361417492851615,,,1,800,5,5,35,50,6,,1,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1089, 1139, 1591]",11985,12000,15,0.2570648258551955,,,1,800,5,5,35,50,6,,1,3
partition_matroid_greedy,"[1089, 1139, 362, 110]",15160,15200,40,1.4919500991236418,,,1,800,5,5,35,50,6,,1,4
cost_scaled_partition_matroid_greedy,"[1089, 1139, 362, 110]",15160,15200,40,1.4031357360072434,,,1,800,5,5,35,50,6,,1,4
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139, 362, 110]",15160,15200,40,0.3456600969657302,,,1,800,5,5,35,50,6,,1,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1089, 1139, 362, 110]",15160,15200,40,0.28154608607292175,,,1,800,5,5,35,50,6,,1,4
partition_matroid_greedy,"[1089, 1139, 1413, 485, 57]",17569,17600,31,1.3075309239793569,,,1,800,5,5,35,50,6,,1,5
cost_scaled_partition_matroid_greedy,"[1089, 1139, 1413, 485, 57]",17569,17600,31,1.2945959439966828,,,1,800,5,5,35,50,6,,1,5
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139, 1413, 485, 57]",17569,17600,31,0.2935302259866148,,,1,800,5,5,35,50,6,,1,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1089, 1139, 1413, 485, 57]",17569,17600,31,0.22602250589989126,,,1,800,5,5,35,50,6,,1,5
partition_matroid_greedy,"[1089, 1139]",7995,8000,5,1.2560412460006773,,,1,800,5,5,35,50,6,,2,1
cost_scaled_partition_matroid_greedy,"[1089, 1139]",7995,8000,5,1.2294484979938716,,,1,800,5,5,35,50,6,,2,1
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139]",7995,8000,5,0.28618766204454005,,,1,800,5,5,35,50,6,,2,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1089, 1139]",7995,8000,5,0.28676205198280513,,,1,800,5,5,35,50,6,,2,1
partition_matroid_greedy,"[1089, 1139, 1413, 106]",15169,15200,31,1.5286556389182806,,,1,800,5,5,35,50,6,,2,2
cost_scaled_partition_matroid_greedy,"[1089, 1139, 1413, 106]",15169,15200,31,1.4061567611061037,,,1,800,5,5,35,50,6,,2,2
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139, 1413, 106]",15169,15200,31,0.3647377830930054,,,1,800,5,5,35,50,6,,2,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1089, 1139, 1413, 106]",15169,15200,31,0.29876669286750257,,,1,800,5,5,35,50,6,,2,2
