alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
partition_matroid_greedy,[1089],3998,4000,2,1.1832380439154804,,,1,800,5,5,35,50,6,,1,1
cost_scaled_partition_matroid_greedy,[1089],3998,4000,2,1.1768524830695242,,,1,800,5,5,35,50,6,,1,1
cost_scaled_partition_matroid_lazy_greedy,[1089],3998,4000,2,0.2729686328675598,,,1,800,5,5,35,50,6,,1,1
cost_scaled_partition_matroid_scaled_lazy_greedy,[1089],3998,4000,2,0.27311503514647484,,,1,800,5,5,35,50,6,,1,1
partition_matroid_greedy,"[1089, 348]",7873,8000,127,1.1808856797870249,,,1,800,5,5,35,50,6,,1,2
cost_scaled_partition_matroid_greedy,"[1089, 348]",7873,8000,127,1.1760241880547255,,,1,800,5,5,35,50,6,,1,2
cost_scaled_partition_matroid_lazy_greedy,"[1089, 348]",7873,8000,127,0.2752158718649298,,,1,800,5,5,35,50,6,,1,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1089, 348]",7873,8000,127,0.25491145020350814,,,1,800,5,5,35,50,6,,1,2
partition_matroid_greedy,"[1089, 891, 1751]",11097,11200,103,1.2362003230955452,,,1,800,5,5,35,50,6,,1,3
cost_scaled_partition_matroid_greedy,"[1089, 891, 1751]",11097,11200,103,1.2554849400185049,,,1,800,5,5,35,50,6,,1,3
cost_scaled_partition_matroid_lazy_greedy,"[1089, 891, 1751]",11097,11200,103,0.2773135188035667,,,1,800,5,5,35,50,6,,1,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1089, 891, 1751]",11097,11200,103,0.3019870559219271,,,1,800,5,5,35,50,6,,1,3
partition_matroid_greedy,"[1089, 143, 1315, 2]",13420,13600,180,1.3700765979010612,,,1,800,5,5,35,50,6,,1,4
cost_scaled_partition_matroid_greedy,"[1089, 143, 1315, 2]",13420,13600,180,1.3519902860280126,,,1,800,5,5,35,50,6,,1,4
cost_scaled_partition_matroid_lazy_greedy,"[1089, 143, 1315, 2]",13420,13600,180,0.31158173899166286,,,1,800,5,5,35,50,6,,1,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1089, 143, 1315, 2]",13420,13600,180,0.29046990000642836,,,1,800,5,5,35,50,6,,1,4
partition_matroid_greedy,"[1089, 52, 191, 898, 2]",16583,16800,217,1.52448655012995,,,1,800,5,5,35,50,6,,1,5
cost_scaled_partition_matroid_greedy,"[1089, 52, 191, 898, 2]",16583,16800,217,1.409970231819898,,,1,800,5,5,35,50,6,,1,5
cost_scaled_partition_matroid_lazy_greedy,"[1089, 52, 191, 898, 2]",16583,16800,217,0.2853620508685708,,,1,800,5,5,35,50,6,,1,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1089, 52, 191, 898, 2]",16583,16800,217,0.2551754489541054,,,1,800,5,5,35,50,6,,1,5
partition_matroid_greedy,"[1089, 1139]",7995,8000,5,1.4395538209937513,,,1,800,5,5,35,50,6,,2,1
cost_scaled_partition_matroid_greedy,"[1089, 1139]",7995,8000,5,1.4764198220800608,,,1,800,5,5,35,50,6,,2,1
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139]",7995,8000,5,0.3133688080124557,,,1,800,5,5,35,50,6,,2,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1089, 1139]",7995,8000,5,0.3122467971406877,,,1,800,5,5,35,50,6,,2,1
partition_matroid_greedy,"[1089, 1139, 348, 1315]",15032,15200,168,1.2808696730062366,,,1,800,5,5,35,50,6,,2,2
cost_scaled_partition_matroid_greedy,"[1089, 1139, 348, 1315]",15032,15200,168,1.2276400688569993,,,1,800,5,5,35,50,6,,2,2
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139, 348, 1315]",15032,15200,168,0.27271320996806026,,,1,800,5,5,35,50,6,,2,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1089, 1139, 348, 1315]",15032,15200,168,0.2400355120189488,,,1,800,5,5,35,50,6,,2,2
partition_matroid_greedy,"[1089, 1139, 891, 110, 1158, 33]",19820,20000,180,1.254004024900496,,,1,800,5,5,35,50,6,,2,3
cost_scaled_partition_matroid_greedy,"[1089, 1139, 891, 110, 1158, 33]",19820,20000,180,1.2566434498876333,,,1,800,5,5,35,50,6,,2,3
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139, 891, 110, 1158, 33]",19820,20000,180,0.2704700459726155,,,1,800,5,5,35,50,6,,2,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1089, 1139, 891, 110, 1158, 33]",19820,20000,180,0.22016028291545808,,,1,800,5,5,35,50,6,,2,3
