alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
cost_scaled_partition_matroid_lazy_greedy,[1089],3998,4000,2,0.29085609700268833,,,1,800,5,5,35,50,6,,1,1
baseline_topk_matroid,[1089],3998,4000,2,0.24620761899859644,,,1,800,5,5,35,50,6,,1,1
cost_scaled_partition_matroid_lazy_greedy,"[1089, 348]",7873,8000,127,0.31787149899901124,,,1,800,5,5,35,50,6,,1,2
baseline_topk_matroid,"[1089, 90]",4758,4800,42,0.2474837240006309,,,1,800,5,5,35,50,6,,1,2
cost_scaled_partition_matroid_lazy_greedy,"[1089, 891, 1751]",11097,11200,103,0.31426533800549805,,,1,800,5,5,35,50,6,,1,3
baseline_topk_matroid,"[1089, 49, 465]",10293,10400,107,0.2426614379946841,,,1,800,5,5,35,50,6,,1,3
cost_scaled_partition_matroid_lazy_greedy,"[1089, 143, 1315, 2]",13420,13600,180,0.3152648559989757,,,1,800,5,5,35,50,6,,1,4
baseline_topk_matroid,"[1089, 113, 371, 497]",7040,7200,160,0.23644652299844893,,,1,800,5,5,35,50,6,,1,4
cost_scaled_partition_matroid_lazy_greedy,"[1089, 52, 191, 898, 2]",16583,16800,217,0.28787358299450716,,,1,800,5,5,35,50,6,,1,5
baseline_topk_matroid,"[1089, 25, 71, 465, 497]",11773,12000,227,0.250702828001522,,,1,800,5,5,35,50,6,,1,5
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139]",7995,8000,5,0.3257773119985359,,,1,800,5,5,35,50,6,,2,1
baseline_topk_matroid,"[1089, 1273]",7196,7200,4,0.32685857299657073,,,1,800,5,5,35,50,6,,2,1
cost_scaled_partition_matroid_lazy_greedy,"[1089, 1139, 348, 1315]",15032,15200,168,0.32048682599997846,,,1,800,5,5,35,50,6,,2,2
baseline_topk_matroid,"[1089, 1273, 371, 372]",9516,9600,84,0.3040445750011713,,,1,800,5,5,35,50,6,,2,2
