alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
partition_matroid_greedy,[4395],3950,4000,50,9.678573991870508,,,1,800,5,40,5,50,6,,1,1
cost_scaled_partition_matroid_greedy,[4395],3950,4000,50,8.377916583791375,,,1,800,5,40,5,50,6,,1,1
cost_scaled_partition_matroid_lazy_greedy,[4395],3950,4000,50,1.5029576129745692,,,1,800,5,40,5,50,6,,1,1
cost_scaled_partition_matroid_scaled_lazy_greedy,[4395],3950,4000,50,1.7816692620981485,,,1,800,5,40,5,50,6,,1,1
partition_matroid_greedy,"[4395, 1040]",7100,7200,100,8.23037686990574,,,1,800,5,40,5,50,6,,1,2
cost_scaled_partition_matroid_greedy,"[4395, 1040]",7100,7200,100,9.325144595000893,,,1,800,5,40,5,50,6,,1,2
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040]",7100,7200,100,1.9490997300017625,,,1,800,5,40,5,50,6,,1,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040]",7100,7200,100,1.8219987179618329,,,1,800,5,40,5,50,6,,1,2
partition_matroid_greedy,"[4395, 1040, 423]",8675,8800,125,9.065322290873155,,,1,800,5,40,5,50,6,,1,3
cost_scaled_partition_matroid_greedy,"[4395, 1040, 423]",8675,8800,125,8.311382137006149,,,1,800,5,40,5,50,6,,1,3
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423]",8675,8800,125,1.7167148049920797,,,1,800,5,40,5,50,6,,1,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423]",8675,8800,125,1.6175337999593467,,,1,800,5,40,5,50,6,,1,3
partition_matroid_greedy,"[4395, 1040, 423, 3213]",10225,10400,175,9.611672785831615,,,1,800,5,40,5,50,6,,1,4
cost_scaled_partition_matroid_greedy,"[4395, 1040, 423, 3213]",10225,10400,175,9.560612139990553,,,1,800,5,40,5,50,6,,1,4
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 3213]",10225,10400,175,1.6113470538984984,,,1,800,5,40,5,50,6,,1,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 3213]",10225,10400,175,1.4021835660096258,,,1,800,5,40,5,50,6,,1,4
partition_matroid_greedy,"[4395, 1040, 423, 932, 2804]",11825,12000,175,9.20172964502126,,,1,800,5,40,5,50,6,,1,5
cost_scaled_partition_matroid_greedy,"[4395, 1040, 423, 932, 2804]",11825,12000,175,8.961713843978941,,,1,800,5,40,5,50,6,,1,5
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 932, 2804]",11825,12000,175,1.5738515160046518,,,1,800,5,40,5,50,6,,1,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 2804]",11825,12000,175,1.436571431113407,,,1,800,5,40,5,50,6,,1,5
partition_matroid_greedy,"[4395, 1040]",7100,7200,100,8.620098168961704,,,1,800,5,40,5,50,6,,2,1
cost_scaled_partition_matroid_greedy,"[4395, 1040]",7100,7200,100,8.884949051076546,,,1,800,5,40,5,50,6,,2,1
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040]",7100,7200,100,2.002422197954729,,,1,800,5,40,5,50,6,,2,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040]",7100,7200,100,1.8920655788388103,,,1,800,5,40,5,50,6,,2,1
partition_matroid_greedy,"[4395, 1040, 423, 932]",10250,10400,150,9.584703213069588,,,1,800,5,40,5,50,6,,2,2
cost_scaled_partition_matroid_greedy,"[4395, 1040, 423, 932]",10250,10400,150,9.926144586177543,,,1,800,5,40,5,50,6,,2,2
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 932]",10250,10400,150,1.9052212128881365,,,1,800,5,40,5,50,6,,2,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932]",10250,10400,150,1.8050385089591146,,,1,800,5,40,5,50,6,,2,2
partition_matroid_greedy,"[4395, 1040, 423, 932, 3209, 975]",12950,13600,650,10.146398453973234,,,1,800,5,40,5,50,6,,2,3
cost_scaled_partition_matroid_greedy,"[4395, 1040, 423, 932, 3209, 21]",12575,12800,225,11.121629192028195,,,1,800,5,40,5,50,6,,2,3
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 932, 3209, 21]",12575,12800,225,1.7897977319080383,,,1,800,5,40,5,50,6,,2,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 3209, 21]",12575,12800,225,1.6380150138866156,,,1,800,5,40,5,50,6,,2,3
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 3209, 2775, 2328]",16275,16800,525,10.076612577075139,,,1,800,5,40,5,50,6,,2,4
cost_scaled_partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 3209, 2775, 2328]",16275,16800,525,10.801797199994326,,,1,800,5,40,5,50,6,,2,4
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 932, 1447, 3209, 2775, 2328]",16275,16800,525,2.148010244127363,,,1,800,5,40,5,50,6,,2,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 3209, 2775, 2328]",16275,16800,525,1.8980744681321084,,,1,800,5,40,5,50,6,,2,4
partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 975, 1590, 766]",17975,19200,1225,10.684599066153169,,,1,800,5,40,5,50,6,,2,5
cost_scaled_partition_matroid_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 766, 1071, 1622]",17275,17600,325,10.435514674056321,,,1,800,5,40,5,50,6,,2,5
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 766, 1071, 1622]",17275,17600,325,1.523835456930101,,,1,800,5,40,5,50,6,,2,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 1447, 2804, 3209, 766, 1071, 1622]",17275,17600,325,1.454724949086085,,,1,800,5,40,5,50,6,,2,5
partition_matroid_greedy,"[4395, 1040, 423]",8675,8800,125,9.360319266095757,,,1,800,5,40,5,50,6,,3,1
