alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
cost_scaled_partition_matroid_lazy_greedy,[3351],5575,5600,25,1.578754845999356,,,1,800,5,5,40,50,6,,1,1
baseline_topk_matroid,[3351],5575,5600,25,1.4660486110005877,,,1,800,5,5,40,50,6,,1,1
cost_scaled_partition_matroid_lazy_greedy,"[3351, 55]",9475,9600,125,1.709118134000164,,,1,800,5,5,40,50,6,,1,2
baseline_topk_matroid,"[3351, 55]",9475,9600,125,1.4963006499965559,,,1,800,5,5,40,50,6,,1,2
cost_scaled_partition_matroid_lazy_greedy,"[3351, 4315, 455]",11850,12000,150,1.6967994120059302,,,1,800,5,5,40,50,6,,1,3
baseline_topk_matroid,"[3351, 4315, 1758]",10875,11200,325,1.3820379780008807,,,1,800,5,5,40,50,6,,1,3
cost_scaled_partition_matroid_lazy_greedy,"[3351, 4315, 4198, 2669]",13420,13600,180,1.655080075004662,,,1,800,5,5,40,50,6,,1,4
baseline_topk_matroid,"[3351, 55, 4315, 2976]",12075,12800,725,1.631805124998209,,,1,800,5,5,40,50,6,,1,4
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 3840, 4050, 1053]",15775,16000,225,1.770189326001855,,,1,800,5,5,40,50,6,,1,5
baseline_topk_matroid,"[3351, 85, 2976, 3356, 3018]",12450,13600,1150,1.705489451996982,,,1,800,5,5,40,50,6,,1,5
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85]",10275,10400,125,1.7824048629991012,,,1,800,5,5,40,50,6,,2,1
baseline_topk_matroid,"[3351, 55]",9475,9600,125,1.4795114799999283,,,1,800,5,5,40,50,6,,2,1
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 4198, 2669]",13420,13600,180,1.6078035479949904,,,1,800,5,5,40,50,6,,2,2
baseline_topk_matroid,"[3351, 55, 85, 2976]",12075,12800,725,1.5248073660040973,,,1,800,5,5,40,50,6,,2,2
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 455, 4050, 1053, 255]",15750,16000,250,1.766967792995274,,,1,800,5,5,40,50,6,,2,3
baseline_topk_matroid,"[3351, 55, 4315, 124, 3018, 1468]",12345,13600,1255,1.4458645480044652,,,1,800,5,5,40,50,6,,2,3
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 3840, 4050, 1053, 3508, 255, 565]",18800,19200,400,1.7385681759988074,,,1,800,5,5,40,50,6,,2,4
baseline_topk_matroid,"[3351, 55, 85, 2976, 3018, 4424, 1468, 4555]",14668,16000,1332,1.4362135229966952,,,1,800,5,5,40,50,6,,2,4
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 3840, 4050, 153, 1053, 3508, 255, 394, 1002]",21145,21600,455,1.8682520509973983,,,1,800,5,5,40,50,6,,2,5
baseline_topk_matroid,"[3351, 55, 85, 2976, 3018, 4424, 455, 4055, 153, 2669]",16238,17600,1362,1.5173298559966497,,,1,800,5,5,40,50,6,,2,5
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 3840]",12650,12800,150,2.146667813998647,,,1,800,5,5,40,50,6,,3,1
baseline_topk_matroid,"[3351, 55, 85]",10975,11200,225,1.5630709160031984,,,1,800,5,5,40,50,6,,3,1
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 3840, 2669, 1053, 3508]",17245,17600,355,1.8469027300016023,,,1,800,5,5,40,50,6,,3,2
baseline_topk_matroid,"[3351, 55, 85, 2976, 3018, 4424]",13148,14400,1252,1.5696557199989911,,,1,800,5,5,40,50,6,,3,2
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 3840, 4050, 153, 1053, 255, 708, 1002]",19670,20000,330,1.847834521002369,,,1,800,5,5,40,50,6,,3,3
baseline_topk_matroid,"[3351, 55, 85, 124, 3018, 4424, 1468, 4555, 455]",14643,16000,1357,1.520541181002045,,,1,800,5,5,40,50,6,,3,3
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 3840, 4050, 153, 1053, 3508, 255, 565, 708, 1002, 2919]",22695,23200,505,2.0792141470010392,,,1,800,5,5,40,50,6,,3,4
baseline_topk_matroid,"[3351, 55, 85, 2976, 3018, 4424, 1468, 4555, 1624, 1219, 2716, 3840]",18493,20000,1507,1.5636844559994643,,,1,800,5,5,40,50,6,,3,4
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 3840, 4050, 153, 1053, 3508, 255, 394, 565, 1002, 1219, 1327, 2552, 3145]",25020,25600,580,2.2256864860028145,,,1,800,5,5,40,50,6,,3,5
baseline_topk_matroid,"[3351, 55, 85, 2976, 3018, 4424, 1468, 4555, 455, 4055, 153, 2669, 1053, 4471, 4050]",19983,21600,1617,1.6834173899987945,,,1,800,5,5,40,50,6,,3,5
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 3840, 4050]",14225,14400,175,1.7901803679997101,,,1,800,5,5,40,50,6,,4,1
baseline_topk_matroid,"[3351, 55, 85, 2976]",12075,12800,725,1.4926533859979827,,,1,800,5,5,40,50,6,,4,1
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 3840, 4050, 1053, 3508, 255, 565]",18800,19200,400,1.8327473899989855,,,1,800,5,5,40,50,6,,4,2
baseline_topk_matroid,"[3351, 55, 85, 2976, 3018, 4424, 1468, 4555]",14668,16000,1332,1.5018848090039683,,,1,800,5,5,40,50,6,,4,2
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 3840, 4050, 153, 1053, 3508, 255, 708, 1002, 1327, 1988]",22695,23200,505,1.8022490619987366,,,1,800,5,5,40,50,6,,4,3
baseline_topk_matroid,"[3351, 55, 85, 2976, 3018, 4424, 1468, 4555, 1624, 455, 4055, 153]",17688,19200,1512,1.569290584004193,,,1,800,5,5,40,50,6,,4,3
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 3840, 4050, 153, 1053, 3508, 255, 394, 565, 708, 1002, 1988, 2518, 2919, 1015]",25770,26400,630,2.0915109859997756,,,1,800,5,5,40,50,6,,4,4
baseline_topk_matroid,"[3351, 55, 85, 2976, 3018, 4424, 1468, 4555, 1624, 455, 1219, 2716, 3840, 4055, 172, 3135]",20743,22400,1657,1.6676228450014605,,,1,800,5,5,40,50,6,,4,4
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 3840, 4050, 153, 1053, 3508, 255, 394, 565, 708, 1002, 1327, 1447, 1988, 2552, 2579, 3145, 3554, 172]",28870,29600,730,1.8436410299982526,,,1,800,5,5,40,50,6,,4,5
baseline_topk_matroid,"[3351, 55, 85, 2976, 3018, 4424, 1468, 4555, 1624, 455, 2716, 4055, 153, 4471, 3022, 485, 4050, 1015, 733, 1554]",22938,25600,2662,1.5412335479995818,,,1,800,5,5,40,50,6,,4,5
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 3840, 4050, 153]",15795,16000,205,1.8897518899975694,,,1,800,5,5,40,50,6,,5,1
baseline_topk_matroid,"[3351, 55, 85, 2976, 3018]",12375,13600,1225,1.5878593520028517,,,1,800,5,5,40,50,6,,5,1
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 3840, 4050, 153, 1053, 3508, 255, 565, 1002]",21145,21600,455,2.0240967139980057,,,1,800,5,5,40,50,6,,5,2
baseline_topk_matroid,"[3351, 55, 85, 2976, 3018, 4424, 1468, 4555, 1624, 1219]",16143,17600,1457,1.5593746730010025,,,1,800,5,5,40,50,6,,5,2
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 3840, 4050, 153, 1053, 3508, 255, 394, 708, 1002, 1327, 1988, 2518, 3145]",25020,25600,580,1.8448799599937047,,,1,800,5,5,40,50,6,,5,3
baseline_topk_matroid,"[3351, 55, 85, 2976, 3018, 4424, 1468, 4555, 1624, 455, 1219, 2716, 4055, 153, 172]",19988,21600,1612,1.5681121059969882,,,1,800,5,5,40,50,6,,5,3
cost_scaled_partition_matroid_lazy_greedy,"[3351, 85, 3840, 4050, 153, 1053, 3508, 255, 394, 565, 708, 1002, 1327, 1988, 2518, 2552, 2919, 1386, 1015, 4445]",28821,29600,779,1.9565669879957568,,,1,800,5,5,40,50,6,,5,4
baseline_topk_matroid,"[3351, 55, 85, 2976, 3018, 4424, 1468, 4555, 1624, 455, 1219, 2716, 3840, 4055, 153, 172, 3135, 4471, 565, 2420]",23763,25600,1837,1.6004884620051598,,,1,800,5,5,40,50,6,,5,4
