alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
partition_matroid_greedy,[4395],3950,4000,50,8.528581157093868,,,1,800,5,40,5,50,6,,1,1
cost_scaled_partition_matroid_greedy,[4395],3950,4000,50,8.69487391691655,,,1,800,5,40,5,50,6,,1,1
cost_scaled_partition_matroid_lazy_greedy,[4395],3950,4000,50,1.6517463389318436,,,1,800,5,40,5,50,6,,1,1
cost_scaled_partition_matroid_scaled_lazy_greedy,[4395],3950,4000,50,1.9772172609809786,,,1,800,5,40,5,50,6,,1,1
partition_matroid_greedy,"[4395, 17]",6150,7200,1050,9.690649267053232,,,1,800,5,40,5,50,6,,1,2
cost_scaled_partition_matroid_greedy,"[4395, 1438]",6050,6400,350,9.80727107799612,,,1,800,5,40,5,50,6,,1,2
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1438]",6050,6400,350,1.8593671268317848,,,1,800,5,40,5,50,6,,1,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1438]",6050,6400,350,1.439595164032653,,,1,800,5,40,5,50,6,,1,2
partition_matroid_greedy,"[4395, 1103, 2812]",7750,8800,1050,8.454328062012792,,,1,800,5,40,5,50,6,,1,3
cost_scaled_partition_matroid_greedy,"[4395, 1103, 2812]",7750,8800,1050,8.119826164096594,,,1,800,5,40,5,50,6,,1,3
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1103, 2812]",7750,8800,1050,2.0437249920796603,,,1,800,5,40,5,50,6,,1,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1103, 2812]",7750,8800,1050,1.6549349178094417,,,1,800,5,40,5,50,6,,1,3
partition_matroid_greedy,"[4395, 2053, 1438, 17]",8950,10400,1450,9.429115198086947,,,1,800,5,40,5,50,6,,1,4
cost_scaled_partition_matroid_greedy,"[4395, 2053, 1438, 17]",8950,10400,1450,9.477370614884421,,,1,800,5,40,5,50,6,,1,4
cost_scaled_partition_matroid_lazy_greedy,"[4395, 2053, 1438, 17]",8950,10400,1450,1.7797865730244666,,,1,800,5,40,5,50,6,,1,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 2053, 1438]",8350,8800,450,1.487410844070837,,,1,800,5,40,5,50,6,,1,4
partition_matroid_greedy,"[4395, 2053, 1160, 975]",9600,10400,800,11.044322130037472,,,1,800,5,40,5,50,6,,1,5
cost_scaled_partition_matroid_greedy,"[4395, 2053, 1160, 975]",9600,10400,800,11.981435815803707,,,1,800,5,40,5,50,6,,1,5
cost_scaled_partition_matroid_lazy_greedy,"[4395, 2053, 1160, 975]",9600,10400,800,1.6318109470885247,,,1,800,5,40,5,50,6,,1,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 2053, 1160, 975]",9600,10400,800,1.4671672098338604,,,1,800,5,40,5,50,6,,1,5
partition_matroid_greedy,"[4395, 1040]",7100,7200,100,8.937519162893295,,,1,800,5,40,5,50,6,,2,1
cost_scaled_partition_matroid_greedy,"[4395, 1040]",7100,7200,100,8.85534557304345,,,1,800,5,40,5,50,6,,2,1
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040]",7100,7200,100,2.052192145958543,,,1,800,5,40,5,50,6,,2,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040]",7100,7200,100,1.5983495360706002,,,1,800,5,40,5,50,6,,2,1
partition_matroid_greedy,"[4395, 1040, 1438, 975]",9550,10400,850,9.134717363864183,,,1,800,5,40,5,50,6,,2,2
cost_scaled_partition_matroid_greedy,"[4395, 1040, 1438, 975]",9550,10400,850,9.102724903961644,,,1,800,5,40,5,50,6,,2,2
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 1438, 975]",9550,10400,850,1.711846634047106,,,1,800,5,40,5,50,6,,2,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 1438, 975]",9550,10400,850,1.6690616409759969,,,1,800,5,40,5,50,6,,2,2
partition_matroid_greedy,"[4395, 1040, 1314, 975, 2812, 17]",11050,13600,2550,9.383040103828534,,,1,800,5,40,5,50,6,,2,3
cost_scaled_partition_matroid_greedy,"[4395, 1040, 1314, 975, 2812, 17]",11050,13600,2550,9.73153987689875,,,1,800,5,40,5,50,6,,2,3
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 1314, 975, 2812, 17]",11050,13600,2550,1.7803165691439062,,,1,800,5,40,5,50,6,,2,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 1314, 975, 2812, 627]",10650,12800,2150,1.685309732099995,,,1,800,5,40,5,50,6,,2,3
partition_matroid_greedy,"[4395, 1040, 2775, 1314, 975, 1663, 17]",12850,15200,2350,17.783122782828286,,,1,800,5,40,5,50,6,,2,4
cost_scaled_partition_matroid_greedy,"[4395, 1040, 2775, 1314, 975, 1663, 17]",12850,15200,2350,17.399511439958587,,,1,800,5,40,5,50,6,,2,4
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 2775, 1314, 975, 1663, 17]",12850,15200,2350,1.7864346781279892,,,1,800,5,40,5,50,6,,2,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 2775, 1314, 975, 1663]",12250,13600,1350,1.6031587349716574,,,1,800,5,40,5,50,6,,2,4
partition_matroid_greedy,"[4395, 1040, 2775, 1314, 975, 1663, 2002, 1322]",13583,15200,1617,13.334616948151961,,,1,800,5,40,5,50,6,,2,5
cost_scaled_partition_matroid_greedy,"[4395, 1040, 2775, 1314, 975, 2002, 1663, 1322]",13583,15200,1617,12.836719689890742,,,1,800,5,40,5,50,6,,2,5
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 2775, 1314, 975, 2002, 1663, 1322]",13583,15200,1617,1.7943792960140854,,,1,800,5,40,5,50,6,,2,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 2775, 1314, 975, 2002, 1663, 1322]",13583,15200,1617,1.5366903499234468,,,1,800,5,40,5,50,6,,2,5
partition_matroid_greedy,"[4395, 1040, 423]",8675,8800,125,8.690792661858723,,,1,800,5,40,5,50,6,,3,1
cost_scaled_partition_matroid_greedy,"[4395, 1040, 423]",8675,8800,125,9.670934005174786,,,1,800,5,40,5,50,6,,3,1
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423]",8675,8800,125,1.9420027150772512,,,1,800,5,40,5,50,6,,3,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423]",8675,8800,125,2.237006057985127,,,1,800,5,40,5,50,6,,3,1
partition_matroid_greedy,"[4395, 1040, 423, 1438, 975, 1590]",12225,13600,1375,9.800527248065919,,,1,800,5,40,5,50,6,,3,2
cost_scaled_partition_matroid_greedy,"[4395, 1040, 423, 1438, 975, 1590]",12225,13600,1375,8.936406730907038,,,1,800,5,40,5,50,6,,3,2
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 1438, 975, 1590]",12225,13600,1375,1.8717412331607193,,,1,800,5,40,5,50,6,,3,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 1438, 975, 1590]",12225,13600,1375,1.7899083849042654,,,1,800,5,40,5,50,6,,3,2
partition_matroid_greedy,"[4395, 1040, 423, 1314, 975, 1663, 17, 1101, 2812]",12925,16800,3875,9.232341021997854,,,1,800,5,40,5,50,6,,3,3
cost_scaled_partition_matroid_greedy,"[4395, 1040, 423, 1314, 975, 1663, 17, 1101, 2812]",12925,16800,3875,9.66184710408561,,,1,800,5,40,5,50,6,,3,3
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 1314, 975, 1663, 17, 1101, 2812]",12925,16800,3875,1.6717934999614954,,,1,800,5,40,5,50,6,,3,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 1314, 975, 1663, 627, 1101]",12525,15200,2675,1.6068020178936422,,,1,800,5,40,5,50,6,,3,3
partition_matroid_greedy,"[4395, 1040, 423, 2775, 1314, 975, 1663, 2089, 17, 2606]",15635,18400,2765,18.2487166300416,,,1,800,5,40,5,50,6,,3,4
cost_scaled_partition_matroid_greedy,"[4395, 1040, 423, 2775, 1314, 975, 2089, 1663, 2606, 17]",15635,18400,2765,19.27113142493181,,,1,800,5,40,5,50,6,,3,4
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 2775, 1314, 975, 2089, 1663, 2606, 17]",15635,18400,2765,1.9565848598722368,,,1,800,5,40,5,50,6,,3,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 2775, 1314, 975, 2089, 1663, 2606]",15035,16800,1765,1.7709739890415221,,,1,800,5,40,5,50,6,,3,4
partition_matroid_greedy,"[4395, 1040, 423, 2775, 1314, 975, 1663, 2002, 251, 17, 454, 1721]",17078,20000,2922,15.2380459390115,,,1,800,5,40,5,50,6,,3,5
cost_scaled_partition_matroid_greedy,"[4395, 1040, 423, 2775, 1314, 975, 2002, 251, 1663, 454, 1721, 3593]",16828,19200,2372,13.288743959972635,,,1,800,5,40,5,50,6,,3,5
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 2775, 1314, 975, 2002, 251, 1663, 454, 1721, 3593]",16828,19200,2372,1.6333459990564734,,,1,800,5,40,5,50,6,,3,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 2775, 1314, 975, 2002, 251, 1663, 454, 1721, 3593]",16828,19200,2372,1.5489929758477956,,,1,800,5,40,5,50,6,,3,5
partition_matroid_greedy,"[4395, 1040, 423, 932]",10250,10400,150,9.737369413021952,,,1,800,5,40,5,50,6,,4,1
cost_scaled_partition_matroid_greedy,"[4395, 1040, 423, 932]",10250,10400,150,9.68776630004868,,,1,800,5,40,5,50,6,,4,1
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 932]",10250,10400,150,1.9942097968887538,,,1,800,5,40,5,50,6,,4,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932]",10250,10400,150,1.9273641528561711,,,1,800,5,40,5,50,6,,4,1
partition_matroid_greedy,"[4395, 1040, 423, 932, 975, 1590, 1663, 17]",14200,16800,2600,9.937421742128208,,,1,800,5,40,5,50,6,,4,2
cost_scaled_partition_matroid_greedy,"[4395, 1040, 423, 932, 975, 1590, 1663, 2606]",14100,16000,1900,9.846849808935076,,,1,800,5,40,5,50,6,,4,2
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 932, 975, 1590, 1663, 2606]",14100,16000,1900,1.6634445488452911,,,1,800,5,40,5,50,6,,4,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 975, 1590, 1663, 2606]",14100,16000,1900,1.571136605925858,,,1,800,5,40,5,50,6,,4,2
partition_matroid_greedy,"[4395, 1040, 423, 932, 2328, 975, 863, 410, 17, 1101]",14715,17600,2885,20.535694784019142,,,1,800,5,40,5,50,6,,4,3
cost_scaled_partition_matroid_greedy,"[4395, 1040, 423, 932, 2328, 975, 863, 410, 17, 1101]",14715,17600,2885,19.852880985010415,,,1,800,5,40,5,50,6,,4,3
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 932, 2328, 975, 863, 410, 17, 1101]",14715,17600,2885,1.651468467200175,,,1,800,5,40,5,50,6,,4,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 932, 2328, 975, 863, 410, 627, 1101]",14315,16800,2485,1.6020817758981138,,,1,800,5,40,5,50,6,,4,3
