Algorithm,sol,val,submodular_val,cost,runtime,lazy_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
partition_matroid_greedy,[4395],3950,4000,50,8.528581157093868,,,1,800,5,40,5,50,6,,1,1
cost_scaled_partition_matroid_scaled_lazy_greedy,[4395],3950,4000,50,1.9772172609809784,,,1,800,5,40,5,50,6,,1,1
partition_matroid_greedy,"[4395, 17]",6150,7200,1050,9.690649267053232,,,1,800,5,40,5,50,6,,1,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1438]",6050,6400,350,1.439595164032653,,,1,800,5,40,5,50,6,,1,2
partition_matroid_greedy,"[4395, 1103, 2812]",7750,8800,1050,8.454328062012793,,,1,800,5,40,5,50,6,,1,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1103, 2812]",7750,8800,1050,1.6549349178094417,,,1,800,5,40,5,50,6,,1,3
partition_matroid_greedy,"[4395, 2053, 1438, 17]",8950,10400,1450,9.429115198086947,,,1,800,5,40,5,50,6,,1,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 2053, 1438]",8350,8800,450,1.487410844070837,,,1,800,5,40,5,50,6,,1,4
partition_matroid_greedy,"[4395, 2053, 1160, 975]",9600,10400,800,11.044322130037472,,,1,800,5,40,5,50,6,,1,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 2053, 1160, 975]",9600,10400,800,1.4671672098338604,,,1,800,5,40,5,50,6,,1,5
partition_matroid_greedy,"[4395, 1040]",7100,7200,100,8.937519162893295,,,1,800,5,40,5,50,6,,2,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040]",7100,7200,100,1.5983495360706002,,,1,800,5,40,5,50,6,,2,1
partition_matroid_greedy,"[4395, 1040, 1438, 975]",9550,10400,850,9.134717363864183,,,1,800,5,40,5,50,6,,2,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 1438, 975]",9550,10400,850,1.6690616409759969,,,1,800,5,40,5,50,6,,2,2
partition_matroid_greedy,"[4395, 1040, 1314, 975, 2812, 17]",11050,13600,2550,9.383040103828533,,,1,800,5,40,5,50,6,,2,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 1314, 975, 2812, 627]",10650,12800,2150,1.685309732099995,,,1,800,5,40,5,50,6,,2,3
partition_matroid_greedy,"[4395, 1040, 2775, 1314, 975, 1663, 17]",12850,15200,2350,17.783122782828286,,,1,800,5,40,5,50,6,,2,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 2775, 1314, 975, 1663]",12250,13600,1350,1.6031587349716574,,,1,800,5,40,5,50,6,,2,4
partition_matroid_greedy,"[4395, 1040, 2775, 1314, 975, 1663, 2002, 1322]",13583,15200,1617,13.334616948151961,,,1,800,5,40,5,50,6,,2,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 2775, 1314, 975, 2002, 1663, 1322]",13583,15200,1617,1.5366903499234468,,,1,800,5,40,5,50,6,,2,5
partition_matroid_greedy,"[4395, 1040, 423]",8675,8800,125,8.690792661858723,,,1,800,5,40,5,50,6,,3,1
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423]",8675,8800,125,2.237006057985127,,,1,800,5,40,5,50,6,,3,1
partition_matroid_greedy,"[4395, 1040, 423, 1438, 975, 1590]",12225,13600,1375,9.80052724806592,,,1,800,5,40,5,50,6,,3,2
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 1438, 975, 1590]",12225,13600,1375,1.7899083849042654,,,1,800,5,40,5,50,6,,3,2
partition_matroid_greedy,"[4395, 1040, 423, 1314, 975, 1663, 17, 1101, 2812]",12925,16800,3875,9.232341021997854,,,1,800,5,40,5,50,6,,3,3
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 1314, 975, 1663, 627, 1101]",12525,15200,2675,1.6068020178936422,,,1,800,5,40,5,50,6,,3,3
partition_matroid_greedy,"[4395, 1040, 423, 2775, 1314, 975, 1663, 2089, 17, 2606]",15635,18400,2765,18.248716630041603,,,1,800,5,40,5,50,6,,3,4
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 2775, 1314, 975, 2089, 1663, 2606]",15035,16800,1765,1.770973989041522,,,1,800,5,40,5,50,6,,3,4
partition_matroid_greedy,"[4395, 1040, 423, 2775, 1314, 975, 1663, 2002, 251, 17, 454, 1721]",17078,20000,2922,15.2380459390115,,,1,800,5,40,5,50,6,,3,5
cost_scaled_partition_matroid_scaled_lazy_greedy,"[4395, 1040, 423, 2775, 1314, 975, 2002, 251, 1663, 454, 1721, 3593]",16828,19200,2372,1.5489929758477956,,,1,800,5,40,5,50,6,,3,5
partition_matroid_greedy,"[4395, 1040, 423, 932]",10250,10400,150,9.737369413021954,,,1,800,5,40,5,50,6,,4,1
