alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k,cardinality_constraint,num_of_partitions
cost_scaled_partition_matroid_lazy_greedy,[4395],3950,4000,50,1.7314386959988042,,,1,800,5,40,5,50,6,,1,1
baseline_topk_matroid,[4395],3950,4000,50,1.5405337339980179,,,1,800,5,40,5,50,6,,1,1
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1438]",6050,6400,350,1.9407384220030508,,,1,800,5,40,5,50,6,,1,2
baseline_topk_matroid,"[4395, 1562]",6050,6400,350,1.3948860719974618,,,1,800,5,40,5,50,6,,1,2
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1103, 2812]",7750,8800,1050,1.651740287001303,,,1,800,5,40,5,50,6,,1,3
baseline_topk_matroid,"[4395, 1103, 17]",7550,8800,1250,1.4763910460023908,,,1,800,5,40,5,50,6,,1,3
cost_scaled_partition_matroid_lazy_greedy,"[4395, 2053, 1438, 17]",8950,10400,1450,2.155808684998192,,,1,800,5,40,5,50,6,,1,4
baseline_topk_matroid,"[4395, 2053, 1562, 17]",8150,9600,1450,1.8761608360000537,,,1,800,5,40,5,50,6,,1,4
cost_scaled_partition_matroid_lazy_greedy,"[4395, 2053, 1160, 975]",9600,10400,800,2.529628534997755,,,1,800,5,40,5,50,6,,1,5
baseline_topk_matroid,"[4395, 2053, 1103, 17]",8250,9600,1350,1.8699289279975346,,,1,800,5,40,5,50,6,,1,5
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040]",7100,7200,100,2.2021256779989926,,,1,800,5,40,5,50,6,,2,1
baseline_topk_matroid,"[4395, 2053]",7050,7200,150,2.0271236109983874,,,1,800,5,40,5,50,6,,2,1
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 1438, 975]",9550,10400,850,2.46026550699753,,,1,800,5,40,5,50,6,,2,2
baseline_topk_matroid,"[4395, 2053, 1562, 17]",8150,9600,1450,1.83426546100236,,,1,800,5,40,5,50,6,,2,2
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 1314, 975, 2812, 17]",11050,13600,2550,2.174410931998864,,,1,800,5,40,5,50,6,,2,3
baseline_topk_matroid,"[4395, 2053, 1103, 2328, 17, 2812]",9650,12000,2350,1.8430560939959832,,,1,800,5,40,5,50,6,,2,3
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 2775, 1314, 975, 1663, 17]",12850,15200,2350,1.9247200110039557,,,1,800,5,40,5,50,6,,2,4
baseline_topk_matroid,"[4395, 2053, 1103, 1040, 17, 1438, 1663]",9800,12000,2200,1.5948728770017624,,,1,800,5,40,5,50,6,,2,4
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 2775, 1314, 975, 2002, 1663, 1322]",13583,15200,1617,1.9064333169953898,,,1,800,5,40,5,50,6,,2,5
baseline_topk_matroid,"[4395, 2053, 1103, 1040, 4315, 2328, 17, 1663]",10600,12800,2200,1.5844559110046248,,,1,800,5,40,5,50,6,,2,5
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423]",8675,8800,125,1.8591083729988895,,,1,800,5,40,5,50,6,,3,1
baseline_topk_matroid,"[4395, 2053, 1103]",7650,8000,350,1.637648326002818,,,1,800,5,40,5,50,6,,3,1
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 1438, 975, 1590]",12225,13600,1375,1.8997570060018916,,,1,800,5,40,5,50,6,,3,2
baseline_topk_matroid,"[4395, 2053, 1103, 17, 1438, 3125]",9150,11200,2050,1.8791019089985639,,,1,800,5,40,5,50,6,,3,2
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 1314, 975, 1663, 17, 1101, 2812]",12925,16800,3875,2.4988323120051064,,,1,800,5,40,5,50,6,,3,3
baseline_topk_matroid,"[4395, 2053, 1103, 1040, 2328, 17, 816, 2812, 1101]",10950,14400,3450,1.848597903001064,,,1,800,5,40,5,50,6,,3,3
cost_scaled_partition_matroid_lazy_greedy,"[4395, 1040, 423, 2775, 1314, 975, 2089, 1663, 2606, 17]",15635,18400,2765,2.876226990003488,,,1,800,5,40,5,50,6,,3,4
