alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
partition_matroid_greedy,"[1215, 584]",3850,4000,150,0.0020914659835398197,,,0.001,800,5,40,5,50,6,
cost_scaled_partition_matroid_greedy,"[1215, 584]",3850,4000,150,0.0015245841350406408,,,0.001,800,5,40,5,50,6,
cost_scaled_partition_matroid_lazy_greedy,"[1215, 584]",3850,4000,150,0.0009830251801759005,,,0.001,800,5,40,5,50,6,
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1215, 584]",3850,4000,150,0.000969157088547945,,,0.001,800,5,40,5,50,6,
partition_matroid_greedy,"[1805, 3755, 222, 2705, 1015, 712, 3229, 3791, 2987, 2669, 1571, 3054, 463, 1663, 2304]",16919,19200,2281,0.7079115200322121,,,0.1,800,5,40,5,50,6,
cost_scaled_partition_matroid_greedy,"[1805, 3755, 222, 2705, 1015, 712, 3229, 3791, 2987, 2669, 1571, 3054, 463, 1663, 2304]",16919,19200,2281,1.5623695328831673,,,0.1,800,5,40,5,50,6,
cost_scaled_partition_matroid_lazy_greedy,"[1805, 3755, 222, 2705, 1015, 712, 3229, 3791, 2987, 2669, 1571, 3054, 463, 1663, 2304]",16919,19200,2281,0.061240021139383316,,,0.1,800,5,40,5,50,6,
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1805, 3755, 222, 2705, 1015, 712, 3229, 3791, 2987, 2669, 1571, 3054, 2304]",16319,17600,1281,0.056821097852662206,,,0.1,800,5,40,5,50,6,
partition_matroid_greedy,"[1625, 30, 1219, 3755, 1999, 2327, 2641, 929, 1506, 1522, 220, 763, 3941, 97, 2909]",17461,19200,1739,2.2406503709498793,,,0.2,800,5,40,5,50,6,
cost_scaled_partition_matroid_greedy,"[1625, 30, 1219, 3755, 1999, 2327, 2641, 929, 1506, 1522, 220, 763, 3941, 97, 2909]",17461,19200,1739,2.5376441350672394,,,0.2,800,5,40,5,50,6,
cost_scaled_partition_matroid_lazy_greedy,"[1625, 30, 1219, 3755, 1999, 2327, 2641, 929, 1506, 1522, 220, 763, 3941, 97, 2909]",17461,19200,1739,0.13234192179515958,,,0.2,800,5,40,5,50,6,
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1625, 30, 1219, 3755, 1999, 2327, 2641, 929, 1506, 1522, 220, 763, 3941, 97, 2909]",17461,19200,1739,0.1212841309607029,,,0.2,800,5,40,5,50,6,
partition_matroid_greedy,"[1124, 1219, 3791, 4346, 1895, 3041, 85, 222, 833, 1622, 2463, 3146, 446, 1079, 2184]",20510,21600,1090,5.680205375887454,,,0.3,800,5,40,5,50,6,
cost_scaled_partition_matroid_greedy,"[1124, 1219, 3791, 4346, 1895, 3041, 85, 222, 833, 1622, 2463, 3146, 446, 1079, 2184]",20510,21600,1090,7.866577032953501,,,0.3,800,5,40,5,50,6,
cost_scaled_partition_matroid_lazy_greedy,"[1124, 1219, 3791, 4346, 1895, 3041, 85, 222, 833, 1622, 2463, 3146, 446, 1079, 2184]",20510,21600,1090,0.23588617308996618,,,0.3,800,5,40,5,50,6,
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1124, 1219, 3791, 4346, 1895, 3041, 85, 222, 833, 1622, 2463, 3146, 446, 1079]",20210,20800,590,0.3630481041036546,,,0.3,800,5,40,5,50,6,
partition_matroid_greedy,"[1243, 2032, 3787, 419, 2849, 2746, 4482, 4532, 3050, 1327, 1604, 2157, 3041, 1816, 308, 981, 4490, 3215, 225]",22315,24000,1685,2.1022259320598096,,,0.4,800,5,40,5,50,6,
cost_scaled_partition_matroid_greedy,"[1243, 2032, 3787, 419, 2849, 2746, 4482, 4532, 784, 1327, 1604, 2157, 3041, 3989, 1816, 981, 4490, 3215]",21405,22400,995,2.889195576077327,,,0.4,800,5,40,5,50,6,
cost_scaled_partition_matroid_lazy_greedy,"[1243, 2032, 3787, 419, 2849, 2746, 4482, 4532, 784, 1327, 1604, 2157, 3041, 3989, 1816, 981, 4490, 3215]",21405,22400,995,0.3217078729066998,,,0.4,800,5,40,5,50,6,
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1243, 2032, 3787, 419, 2849, 2746, 4482, 4532, 784, 1327, 1604, 2157, 3041, 3989, 1816, 981, 4490, 3215]",21405,22400,995,0.3262052698992193,,,0.4,800,5,40,5,50,6,
partition_matroid_greedy,"[622, 210, 771, 686, 1235, 1438, 784, 1517, 1988, 2107, 3868, 3878, 624, 2657, 3887, 650, 1897]",20585,21600,1015,5.693244593916461,,,0.5,800,5,40,5,50,6,
cost_scaled_partition_matroid_greedy,"[622, 210, 771, 686, 1235, 1438, 784, 1517, 1988, 2107, 3868, 3878, 624, 2657, 3887, 650, 1897]",20585,21600,1015,5.508691980037838,,,0.5,800,5,40,5,50,6,
cost_scaled_partition_matroid_lazy_greedy,"[622, 210, 771, 686, 1235, 1438, 784, 1517, 1988, 2107, 3868, 3878, 624, 2657, 3887, 650, 1897]",20585,21600,1015,0.4682334768585861,,,0.5,800,5,40,5,50,6,
cost_scaled_partition_matroid_scaled_lazy_greedy,"[622, 210, 771, 686, 1235, 1438, 784, 1517, 1988, 2107, 3868, 3878, 624, 2657, 3887, 650, 1897]",20585,21600,1015,0.4450021118391305,,,0.5,800,5,40,5,50,6,
