alg,sol,val,submodular_val,cost,runtime,error_epsilon,sample_epsilon,user_sample_ratio,scaling_factor,num_rare_skills,num_common_skills,num_popular_skills,num_sampled_skills,seed,k
partition_matroid_greedy,"[1215, 584]",3850,4000,150,0.0021371920593082905,,,0.001,800,5,40,5,50,6,
cost_scaled_partition_matroid_greedy,"[1215, 584]",3850,4000,150,0.0018258178606629372,,,0.001,800,5,40,5,50,6,
cost_scaled_partition_matroid_lazy_greedy,"[1215, 584]",3850,4000,150,0.0008706410881131887,,,0.001,800,5,40,5,50,6,
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1215, 584]",3850,4000,150,0.0008235219866037369,,,0.001,800,5,40,5,50,6,
partition_matroid_greedy,"[1805, 3755, 1015, 3054, 712, 825, 1335, 463, 4270]",11635,13600,1965,0.3440789480227977,,,0.1,800,5,40,5,50,6,
cost_scaled_partition_matroid_greedy,"[1805, 3755, 1015, 3054, 712, 825, 1335, 463, 4270]",11635,13600,1965,0.42088696896098554,,,0.1,800,5,40,5,50,6,
cost_scaled_partition_matroid_lazy_greedy,"[1805, 3755, 1015, 3054, 712, 825, 1335, 463, 4270]",11635,13600,1965,0.040986926993355155,,,0.1,800,5,40,5,50,6,
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1805, 3755, 1015, 3054, 712, 825, 1335, 2304, 4270]",11635,13600,1965,0.03962277318350971,,,0.1,800,5,40,5,50,6,
partition_matroid_greedy,"[1625, 981, 220, 1999, 1761, 3737, 74, 1445, 809, 4376, 2979, 4563]",13388,15200,1812,0.6346387730445713,,,0.2,800,5,40,5,50,6,
cost_scaled_partition_matroid_greedy,"[1625, 981, 220, 1999, 1761, 3737, 74, 1445, 809, 4376, 2979, 4563]",13388,15200,1812,0.6178748200181872,,,0.2,800,5,40,5,50,6,
cost_scaled_partition_matroid_lazy_greedy,"[1625, 981, 220, 1999, 1761, 3737, 74, 1445, 809, 4376, 2979, 4563]",13388,15200,1812,0.1311583409551531,,,0.2,800,5,40,5,50,6,
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1625, 981, 220, 1999, 1761, 3737, 74, 1445, 809, 4376, 2979]",13088,14400,1312,0.11338786804117262,,,0.2,800,5,40,5,50,6,
partition_matroid_greedy,"[1124, 2978, 1774, 2184, 1522, 2849, 1669, 1079, 863, 732, 4518, 945, 2649, 1785]",14030,17600,3570,0.9165554090868682,,,0.3,800,5,40,5,50,6,
cost_scaled_partition_matroid_greedy,"[1124, 2978, 1774, 1522, 2849, 1669, 1079, 2184, 863, 732, 945, 2649, 4518, 1785]",14030,17600,3570,1.133386307861656,,,0.3,800,5,40,5,50,6,
cost_scaled_partition_matroid_lazy_greedy,"[1124, 2978, 1774, 1522, 2849, 1669, 1079, 2184, 863, 732, 945, 2649, 4518, 1785]",14030,17600,3570,0.23619837895967066,,,0.3,800,5,40,5,50,6,
cost_scaled_partition_matroid_scaled_lazy_greedy,"[1124, 2978, 1774, 1522, 2849, 1669, 1079, 2184, 863, 732, 945, 2649, 1785]",13430,16000,2570,0.23178176605142653,,,0.3,800,5,40,5,50,6,
